"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
78,"NCT00298311","Effect of Home-Based Peer Support on Maternal-Infant Interaction and Postpartum Depression",,"Completed","No Results Available","Postpartum Depression","Behavioral: mci guidance peer support","maternal-infant interaction|cognitive development|social development|salivary cortisol|depressive symptomatology|social support","Canadian Research Institute for Social Policy|Women's Health Research Unit|Social Support Research Program|University Health Network, Toronto|Edmonton Mental Health Services|Canadian Mental Health Association|Pediatric Rehabilitation Services|Department of Health and Wellness, NB","Female","Child, Adult, Older Adult","Not Applicable","60","Other","Interventional","Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Health Services Research","PPD MOD","November 2005","February 2009","July 2010","March 2, 2006",,"August 7, 2017",,,"https://ClinicalTrials.gov/show/NCT00298311"
79,"NCT05693792","A Six-Month Prospective Follow-Up Study of WB001",,"Withdrawn","No Results Available","Postpartum Depression","Other: Observational","Hamilton Rating Scale for Depression (HAM-D)|Patient Health Questionnaire (PHQ-9)|Edinburgh Postpartum Depression Scale (EPDS)|Generalized Anxiety Disorder Questionnaire (GAD-7)|Mother-to-Infant Bonding Scale (MIBS)|Patient Global Impression scale (PGI)|Columbia-Suicide Severity Rating Scale (C-SSRS)","Woebot Health","Female","22 Years to 45 Years   (Adult)",,"0","Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","WB001-002","February 1, 2023","June 8, 2024","June 8, 2024","January 23, 2023",,"May 6, 2023",,,"https://ClinicalTrials.gov/show/NCT05693792"
80,"NCT04278456","Postpartum Depression",,"Unknown status","No Results Available","Postpartum Depression|Melatonin","Behavioral: postpartum depression","edinburgh depression scale","Erzincan University","Female","18 Years to 45 Years   (Adult)",,"300","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","EBYU 88","March 21, 2020","May 21, 2020","July 21, 2020","February 20, 2020",,"February 20, 2020","Erzincan Byu, Erzincan, Turkey",,"https://ClinicalTrials.gov/show/NCT04278456"
81,"NCT05753176","Online 1-Day CBT-Based Workshops for Preventing Postpartum Depression",,"Recruiting","No Results Available","Postpartum Depression|Postpartum Anxiety","Behavioral: Online 1-Day Cognitive Behavioural Therapy-Based Workshop","EPDS score as a continuous outcome (Total EPDS) and an EPDS score of 13 or more at 2-months postpartum (T3) will serve as co-primary outcomes.|Maternal Anxiety (Generalized Anxiety Disorder 7-Item Scale (GAD-7))|Maternal Social Support (MSPSS)|Maternal Perceived Stress (Perceived Stress Scale (PSS))|Problems with the Mother-Infant Relationship (Postpartum Bonding Questionnaire (PBQ))|Infant Temperament (Infant Behaviour Questionnaire-Revised (IBQ-R))","McMaster University","Female","18 Years and older   (Adult, Older Adult)","Not Applicable","408","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Prevention","RCT1-day CBT to prevent PPD","November 10, 2022","March 10, 2025","March 10, 2025","March 3, 2023",,"December 18, 2023","McMaster University, Hamilton, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT05753176"
82,"NCT00560027","Case Management Study for Postpartum Depression and Intimate Partner Violence",,"Completed","No Results Available","Postpartum Depression|Intimate Partner Violence","Other: Case Management by Family Support Counselor (not RCT)","Positive screens for PPD and/or IPV|Healthcare utilization over 2 years (acute care, emergency and well visits)","Johns Hopkins University|Leonard & Helen R. Stulman Charitable Foundation","Female","Child, Adult, Older Adult","Not Applicable","173","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Screening","20064046","July 2010","June 2013","June 2013","November 19, 2007",,"May 28, 2015","Harriet Lane Clinic, Baltimore, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT00560027"
83,"NCT05044455","Online Peer-Delivered Group CBT for PPD",,"Active, not recruiting","No Results Available","Postpartum Depression","Behavioral: Cognitive Behavioural Therapy (CBT)","Edinburgh Postnatal Depression Scale (EPDS)|MINI International Neuropsychiatric Interview|GAD-7|Multidimensional Scale of Perceived Social Support (MSPSS)|The Postpartum Bonding Questionnaire (PBQ)|Infant Behavior Questionnaire-Revised Very Short Form (IBQ-R)|EQ-5D-5L|Healthcare Resource Utilization Questionnaire","McMaster University|Canadian Institutes of Health Research (CIHR)","Female","18 Years to 99 Years   (Adult, Older Adult)","Not Applicable","167","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","OnlinePeerCBT","March 28, 2022","January 2024","October 2024","September 14, 2021",,"April 6, 2023","McMaster University, Hamilton, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT05044455"
84,"NCT02355067","Social Media Intervention for Postpartum Depression",,"Completed","Has Results","Postpartum Depression|Parenting","Behavioral: Social Media Intervention|Behavioral: Traditional In-Person Intervention","Attendance|Acceptability|Beck Depression Inventory (BDI-II)|Parenting Sense of Competency (PSOC) Scale","Children's Hospital of Philadelphia|The Oscar G. & Elsa S. Mayer Family Foundation|University of Pennsylvania","Female","15 Years and older   (Child, Adult, Older Adult)","Not Applicable","40","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","14-011491","January 2015","November 3, 2017","November 3, 2017","February 4, 2015","October 2, 2019","March 9, 2021","The Children's Hospital of Philadelphia, Philadelphia, Pennsylvania, United States","""Informed Consent Form"", https://classic.clinicaltrials.gov/ProvidedDocs/67/NCT02355067/ICF_000.pdf|""Study Protocol and Statistical Analysis Plan"", https://classic.clinicaltrials.gov/ProvidedDocs/67/NCT02355067/Prot_SAP_001.pdf","https://ClinicalTrials.gov/show/NCT02355067"
85,"NCT01912833","Study of Exposure to Stress, Postpartum Mood, Adverse Life Events, and Hormonal Function Among Latinas (SEPAH Latina)","SEPAH","Completed","No Results Available","Postpartum Depression",,"Postpartum depression","University of North Carolina, Chapel Hill","Female","18 Years to 45 Years   (Adult)",,"34","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","13-0788","August 2013","September 2014","September 2014","July 31, 2013",,"December 8, 2014","University of North Carolina, Chapel Hill, Chapel Hill, North Carolina, United States",,"https://ClinicalTrials.gov/show/NCT01912833"
86,"NCT03596879","Insomnia and Rumination in Late Pregnancy and the Risk for Postpartum Depression","PPD","Completed","No Results Available","Insomnia|Post Partum Depression","Behavioral: dCBTI|Behavioral: Sleep Education","Improvement in Sleep - Insomnia Severity Index|Prevention of Postpartum Depression Symptoms - Edinburg Postnatal Depression Scale (EPDS)","Henry Ford Health System","Female","18 Years and older   (Adult, Older Adult)","Not Applicable","91","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","12204","July 18, 2018","July 31, 2019","July 31, 2019","July 24, 2018",,"December 5, 2019","Henry Ford Medical Center, Novi, Michigan, United States",,"https://ClinicalTrials.gov/show/NCT03596879"
87,"NCT05595512","Postpartum Depression",,"Completed","No Results Available","Development of Depression Postpartum","Behavioral: Naser Al-Husban","Postpartum depression symptoms","University of Jordan","Female","18 Years to 49 Years   (Adult)",,"73","Other","Observational","Observational Model: Other|Time Perspective: Retrospective","JUH obstetrics","January 30, 2014","March 30, 2021","April 30, 2021","October 27, 2022",,"October 27, 2022",,,"https://ClinicalTrials.gov/show/NCT05595512"
88,"NCT05186272","mHealth Mindfulness Intervention for Pregnant Black and Latina Women at Risk of Postpartum Depression",,"Enrolling by invitation","No Results Available","Post Partum Depression|Perinatal Depression","Behavioral: Stress reduction program 'A'|Behavioral: Stress reduction program 'B'","Patient Health Questionnaire-9|Perceived Stress Scale|Generalized Anxiety Disorder 7-item scale|Promis Sleep Disturbance - Short Form 6a","Kaiser Permanente","Female","18 Years to 99 Years   (Adult, Older Adult)","Phase 3","600","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Investigator, Outcomes Assessor)|Primary Purpose: Prevention","1693692","June 14, 2022","March 1, 2025","March 1, 2025","January 11, 2022",,"April 26, 2023","Kaiser Permanente Northern California, Oakland, California, United States",,"https://ClinicalTrials.gov/show/NCT05186272"
89,"NCT04860661","Esketamine on Postpartum Depression in Cesarean Section Women","EKET","Recruiting","No Results Available","Esketamine|Postpartum Depression","Drug: Esketamine|Drug: Normal saline","Edinburgh Postnatal Depression Scale(EPDS） scores|Visual Analogue Scale/Score (VAS) score|total number of PCA compressions|total volume of PCA","Ailin Luo|The Affiliated Nanjing Drum Tower Hospital of Nanjing University Medical School|Central South University|The First Affiliated Hospital of Anhui Medical University|The First Affiliated Hospital of University of South China|Guangdong Women and Children Hospital|Third Affiliated Hospital of Zhengzhou University|First Affiliated Hospital of Guangxi Medical University|Dalian Municipal Central Hospital|Jining First People's Hospital|Maternal and Child Health Hospital of Hubei Province|Tongji Hospital","Female","18 Years to 40 Years   (Adult)","Not Applicable","1248","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","EKET","May 1, 2021","December 31, 2023","December 31, 2023","April 27, 2021",,"July 5, 2023","Tongji Hospital, Wuhan, Hubei, China",,"https://ClinicalTrials.gov/show/NCT04860661"
90,"NCT03638687","Neuroimaging Epigenetics of Prospective Postpartum Depression Biomarkers",,"Completed","No Results Available","Post Partum Depression|Bipolar Disorder",,"Epigenetic Analysis|Brain Imaging","Johns Hopkins University|National Institute of Mental Health (NIMH)","Female","18 Years to 65 Years   (Adult, Older Adult)",,"80","Other|NIH","Observational","Observational Model: Cohort|Time Perspective: Prospective","IRB00038271|R01MH104262","May 2014","October 2019","August 2020","August 20, 2018",,"September 22, 2020","Johns Hopkins East Baltimore Medical Campus, Baltimore, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT03638687"
91,"NCT04073043","Telephone Coaching Intervention for Postpartum Depression and Anxiety",,"Completed","No Results Available","Postpartum Depression|Anxiety","Behavioral: Telephone Coaching","Edinburgh Postnatal Depression Scale (EPDS)|Generalized Anxiety Disorder-7 (GAD-7)|Questions on usability & acceptability|Barkin Index of Maternal Functioning (BIMF)|Parental Stress Questionnaire (PARSS)|Client Satisfaction Questionnaire (CSQ-8)|Questionnaire on Use of services for mental health problems|Acceptability of Coaching Questionnaire|Coach logs and records|Coach exit interview","McGill University","Female","18 Years and older   (Adult, Older Adult)","Not Applicable","52","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Investigator)|Primary Purpose: Treatment","SMHC-18-25","August 12, 2019","April 26, 2021","April 26, 2021","August 28, 2019",,"April 6, 2022","St. Mary's Hospital Centre, Montreal, Quebec, Canada","""Study Protocol and Statistical Analysis Plan"", https://classic.clinicaltrials.gov/ProvidedDocs/43/NCT04073043/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT04073043"
92,"NCT06348316","Early Half Swaddling and Kangaroo Care Practices on Maternal Sleep Quality and Postpartum Depression in Term Babies",,"Recruiting","No Results Available","Mothers|Postpartum Depression","Other: Half swaddle|Other: Kangaroo care","Mother sleep quality evaluated using the Pittsburgh Sleep Quality Index (PSQI)|Postpartum depression evaluated using the Edinburgh Postnatal Depression Scale (EPDS)","Trakya University","Female","18 Years to 49 Years   (Adult)","Not Applicable","136","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Other","TÜTF-GOBAEK 2023/45","September 30, 2023","April 2, 2024","July 30, 2024","April 4, 2024",,"April 4, 2024","Trakya University, Edirne, Turkey",,"https://ClinicalTrials.gov/show/NCT06348316"
93,"NCT05225025","A Pilot Trial of the Reach Out, Stay Strong, Essentials for Mothers of Newborns (ROSE) Postpartum Depression Prevention Intervention in Pregnant Patients Admitted to Strong Hospital",,"Completed","No Results Available","Postpartum Depression|Postpartum Anxiety","Behavioral: ROSE|Other: Standard of Care","Subject-reported in-hospital distress|Subject-reported depressive symptom severity|Subject-reported anxiety symptom severity|Clinical diagnosis of depression","University of Rochester|Mae Stone Goode Foundation","Female","18 Years and older   (Adult, Older Adult)","Not Applicable","45","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Prevention","STUDY00005941","July 5, 2021","May 2, 2022","May 2, 2022","February 4, 2022",,"June 13, 2022","Strong Hospital, Rochester, New York, United States",,"https://ClinicalTrials.gov/show/NCT05225025"
94,"NCT04414696","Postpartum Wellness","POW","Completed","No Results Available","Postpartum Depression","Behavioral: Exercise intervention","Depression symptoms|Physical Activity|Depressive symptoms","Kaiser Permanente","Female","18 Years to 45 Years   (Adult)","Not Applicable","134","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Investigator)|Primary Purpose: Prevention","1548855","November 19, 2020","December 13, 2022","May 1, 2023","June 4, 2020",,"November 7, 2023","Division of Research, Oakland, California, United States",,"https://ClinicalTrials.gov/show/NCT04414696"
95,"NCT06221280","Effects of Nerve Blocks on Pain After Caesarean Section and Postpartum Depression",,"Enrolling by invitation","No Results Available","Postoperative Pain|Cesarean Section|Postpartum Depression","Procedure: Nerve block","Pain (VAS score)|Postpartum depression (Edinnburg Depression Scale)","Kahramanmaras Sutcu Imam University","Female","18 Years and older   (Adult, Older Adult)","Not Applicable","60","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","2023/10-02","November 1, 2023","May 1, 2024","July 1, 2024","January 24, 2024",,"January 24, 2024","KahramanmarasSIU, Kahramanmaraş, Turkey",,"https://ClinicalTrials.gov/show/NCT06221280"
96,"NCT03654261","1-Day CBT Workshops for PPD",,"Completed","No Results Available","Postpartum Depression","Behavioral: Cognitive Behavioural Therapy","Edinburgh Postnatal Depression Scale (EPDS)|Beck Depression Inventory-II|Generalized Anxiety Disorder-7 (GAD-7)|Postpartum Bonding Questionnaire|Client Satisfaction Questionnaire|Healthcare Utilization|Infant Behaviour Questionnaire-Revised (Very short form)|Strengths and Difficulties Questionnaire|Early Childhood Behaviour Questionnaire (very short form)|EQ-5D","McMaster University","Female","18 Years and older   (Adult, Older Adult)","Not Applicable","461","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","1Day-CBT","January 1, 2018","August 17, 2020","October 1, 2020","August 31, 2018",,"May 25, 2022","McMaster University, Hamilton, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT03654261"
97,"NCT03709004","Pacifiers and Breastfeeding Among Mothers at Risk for Postpartum Depression",,"Withdrawn","No Results Available","Breastfeeding|Postpartum Depression","Other: Pacifier","Infant Feeding - Breastfeeding Status|Infant Feeding - Breastfeeding Duration|Pacifier Use","University of California, Davis|Benedictine University|Yale University","All","12 Hours to 45 Years   (Child, Adult)","Not Applicable","0","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Investigator, Outcomes Assessor)|Primary Purpose: Supportive Care","1132743","September 25, 2019","September 25, 2019","September 25, 2019","October 17, 2018",,"September 27, 2019","University of California Medical Center, Sacramento, California, United States",,"https://ClinicalTrials.gov/show/NCT03709004"
98,"NCT03285139","Peer Administered CBT for PPD","PL-CBT","Completed","No Results Available","Postpartum Depression","Behavioral: Cognitive Behavioural Therapy","Edinburgh Postnatal Depression Scale|Postpartum Bonding Questionnaire|Social Provisions Scale|CCHS Maternal Healthcare Utilization|Adult Adolescent Parenting Inventory|Cognitive Therapy Awareness Scale|Therapist Evaluation Checklist|EQ-5D|Generalized Anxiety Disorder-7|Mini International Neuropsychiatric Interview - Current Major Depressive Disorder","McMaster University|Kids Can Fly Brantford","Female","18 Years and older   (Adult, Older Adult)","Not Applicable","73","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","PL CBT","January 3, 2018","February 28, 2020","February 28, 2020","September 15, 2017",,"March 23, 2022","Kids Can Fly, Brantford, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT03285139"
99,"NCT06131255","DRACULA1 Partum Depression: an Integrated Molecular-pharmaco-imaging Study"")",,"Not yet recruiting","No Results Available","Post-partum Depression","Drug: Citalopram","Evaluate the citalopram effect on white matter morphology|Evaluate the citalopram effect on gray matter morphology|To evaluate the efficacy of citalopram on the clinical symptomatology of the PPD patients through the use of clinical scales","Fondazione IRCCS Ca' Granda, Ospedale Maggiore Policlinico","Female","18 Years to 40 Years   (Adult)",,"15","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","DRACULA 1","January 1, 2024","December 1, 2025","April 30, 2026","November 14, 2023",,"November 14, 2023","Fondazione IRCCS Ca' Granda - Ospedale Maggiore Policlinico, Milan, MI, Italy",,"https://ClinicalTrials.gov/show/NCT06131255"
100,"NCT00277108","Lexapro in the Treatment of Patients With Postpartum Depression",,"Completed","No Results Available","Postpartum Depression","Drug: Escitalopram (Lexapro)","The primary outcome measure will be remission of major depression, defined as a score of 12 or less on the Montgomery-Asberg Depression Scale.|A score of 7 or less on the Hamilton Depression Scale (21 item) will be used as a secondary measure of remission.","University of Rochester|Forest Laboratories","Female","18 Years and older   (Adult, Older Adult)","Not Applicable","20","Other|Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","LXP-MD80","February 2004","April 2007","April 2007","January 13, 2006",,"November 6, 2008","University of Rochester, Rochester, New York, United States",,"https://ClinicalTrials.gov/show/NCT00277108"
101,"NCT05046405","Home-based Transcranial Direct Current Stimulation in Postpartum Depression: the Feasibility Study and Pilot Study","4MUMs","Not yet recruiting","No Results Available","Postnatal Depression","Device: Transcranial Direct Current Stimulation","Feasibility of the intervention - Number of completed tDCS applications|Change from Baseline on the feasibility of the intervention according to patients.|Change across treatment and follow-up time points on the feasibility of the intervention - Compliance with symptom monitoring|Change across treatment and follow-up time points on the feasibility of the assessment procedures - Compliance with outcomes assessment visits|Change from baseline depressive symptoms.|Change from Baseline on the feasibility of the intervention according to Health Providers|Feasibility of the intervention - tDCS Adverse Effects|Feasibility of the intervention -Health Technology Users' Satisfaction Survey|Change from Baseline on the feasibility of the assessment procedures - Acceptability of outcomes assessment visits by women|Change from Baseline on the feasibility of the assessment procedures - Acceptability of outcomes assessment visits (newborn-infants)|Estimate of recruitment|Estimate of retention|Estimate of dropouts|Change from Baseline in Clinical Status according to depressive symptoms.|Change from Baseline in Clinical Status according to anxiety symptoms|Change from Baseline in Clinical Status according to difficulties in emotion regulation.|Change from Baseline in Clinical Status according to Sleep quality|Change from Baseline in Clinical Status according to Ruminative Thinking|Infant and Toddler Development|Change from Baseline in bonding quality in mother-baby dyad.|Change from Baseline in parental stress.|Quality of Life according to the EuroQol five dimensions, five level questionnaire - EQ-5D-5L|Mother epigenetic biomarkers (collected during at-home visits)|Mother genetic biomarkers (collected during at-home visits)|Quantification of neuroinflammatory biomarkers of mothers (collected during at-home visits)|Baby epigenetic biomarkers (collected during at-home visits)|Quantification of neuroinflamatory biomarkers of babies (collected during at-home visits)|Baby genetic biomarkers (collected during at-home visits)","Ana Ganho Ávila|Centro Hospitalar e Universitário de Coimbra, E.P.E.|University of Coimbra","Female","18 Years to 45 Years   (Adult)","Not Applicable","50","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other","2020.02059.CEECIND|PTDC/PSI-GER/3110/2021","October 2, 2022","January 31, 2024","September 30, 2026","September 16, 2021",,"September 16, 2021",,,"https://ClinicalTrials.gov/show/NCT05046405"
102,"NCT00816725","Effectiveness of a Web-based Prevention Program for Postpartum Depression",,"Completed","No Results Available","Depression|Postpartum Depression","Behavioral: Mothers and babies Internet course and PPD informational brochure","Edinburgh Postnatal Depression Scale (EPDS)|Center for Epidemiologic Studies-Depression (CES-D) Scale","University of California, San Francisco|National Institute of Mental Health (NIMH)","Female","18 Years to 60 Years   (Adult)","Not Applicable","1000","Other|NIH","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","F32MH077371|5A|DATR AK-TAIF","January 2009","June 2013","June 2013","January 5, 2009",,"April 11, 2014","University of California, San Francisco, San Francisco, California, United States",,"https://ClinicalTrials.gov/show/NCT00816725"
103,"NCT04913584","Peer Administered Online CBT for PPD","PL-OCBT","Completed","No Results Available","Postpartum Depression","Behavioral: Cognitive Behavioural Therapy","Edinburgh Postnatal Depression Scale|Postpartum Bonding Questionnaire|Social Provisions Scale|Canadian Community Health Survey Maternal Healthcare Utilization|Adult Adolescent Parenting Inventory|EuroQol-5D|Generalized Anxiety Disorder-7|Mini International Neuropsychiatric Interview - Current Major Depressive Disorder|Parenting Stress Index (Short-Form)|Infant Behavior Questionnaire-Revised|Ages and Stages Questionnaire","McMaster University|Kids Can Fly","Female","18 Years and older   (Adult, Older Adult)","Not Applicable","183","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","PL OCBT","August 25, 2020","February 22, 2022","February 22, 2022","June 4, 2021",,"April 19, 2022","Kids Can Fly, Brantford, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT04913584"
104,"NCT04437342","Postpartum Depression in the Covid-19 Pandemic and the Impact of Anaesthesia",,"Completed","No Results Available","Postpartum Depression|Psychological Stress|Maternal Distress","Other: PHQ-9 (Patient Health Questionnaire) Depression Scale|Other: GAD-7 (General Anxiety Disorder) scale|Other: 38 questions questionnaire|Other: EPDS (Edinburgh Postnatal Depression Scale)","Correlation between the Covid-19 pandemic and postpartum depression with EPDS scale (Edinburgh postnatal depression scale)|Correlation between the Covid-19 pandemic, postpartum depression and type of anaesthesia (general, epidural, spinal, combined, epidural analgesia for vaginal delivery)|Correlation between the Covid-19 pandemic, postpartum depression and postpartum pain","General and Maternity Hospital of Athens Elena Venizelou|National and Kapodistrian University of Athens|Alexandra Hospital, Athens, Greece|University of Ioannina|Larissa University Hospital","Female","18 Years and older   (Adult, Older Adult)",,"330","Other","Observational","Observational Model: Other|Time Perspective: Prospective","Covid-19 Postpartum depression","June 30, 2020","August 30, 2020","October 27, 2020","June 18, 2020",,"January 6, 2021","""Elena Venizelou"" General and Maternity Hospital of Athens, Athens, Attica, Greece|Aretaieio University Hospital, Athens, Attica, Greece|Alexandra Genaral Hospital Athens, Athens, Greece|University of Ioannina Health Science, Ioannina, Greece|University of Ioannina, Medical School, Ioannina, Greece|University of Thessaly Medical School, Larisa, Greece",,"https://ClinicalTrials.gov/show/NCT04437342"
105,"NCT02726659","Adjunctive Use of Celecoxib in the Treatment of Bipolar Postpartum Depression",,"Terminated","No Results Available","Bipolar Disorder|Postpartum Depression","Drug: Celecoxib|Drug: Placebo","Hamilton Rating Scale for Depression (HAM-D)|Montgomery Asberg Depression Scale|Udvalg for Kliniske Undersogelser Scale|Edinburgh Postnatal Depression Scale (EPDS)|Clinical Global Impression Scale (CGI)","Lawson Health Research Institute","Female","18 Years to 45 Years   (Adult)","Phase 3","1","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","107775","May 2016","January 16, 2019","January 16, 2019","April 4, 2016",,"January 20, 2022","Parkwood Institute, Mental Health Care Buildling, London, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT02726659"
106,"NCT02272387","Is Vitamin D Insufficiency and Deficiency Associated With Antepartum and Postpartum Depression?",,"Terminated","No Results Available","Depression|Postpartum Depression","Dietary Supplement: Vitamin D3 (Cholecalciferol)|Other: Placebo","Antepartum and Postpartum Depressive symptoms|Maternal morbidities|Fetal morbidities","St. Luke's-Roosevelt Hospital Center","Female","18 Years and older   (Adult, Older Adult)","Not Applicable","151","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","13-0223","October 2014","April 14, 2016","April 14, 2016","October 22, 2014",,"August 24, 2017","Mount Sinai Roosevelt Hospital, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT02272387"
107,"NCT01935375","Multidisciplinary Model of Nurse Midwife",,"Completed","No Results Available","Postpartum Depression","Behavioral: CNM Interpersonal Psychotherapy|Behavioral: Treatment as Usual","Hamilton Rating Scale for depression|Global Assessment of functioning|Dyadic Adjustment Scale|Social Support Questionnaire|Client Satisfaction Questionnaire|Edinburgh Postnatal Depression Scale","Drexel University","Female","16 Years to 45 Years   (Child, Adult)","Not Applicable","61","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","18981","July 2010","June 2014","June 2014","September 5, 2013",,"August 7, 2015","Drexel University, Phila, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT01935375"
108,"NCT05700760","The ROSE Scale-up Study: Informing a Decision About ROSE as Universal PPD Prevention","ROSES-II","Recruiting","No Results Available","Postpartum Depression","Behavioral: ROSE (Reach Out, Stay Strong, Essentials for mothers of newborns)|Behavioral: Enhanced Care as Usual (CAU)","SCID-5 Major Depressive Episode|SF-12","Michigan State University|Pacific Institute for Research and Evaluation|Henry Ford Health System|Butler Hospital","Female","18 Years and older   (Adult, Older Adult)","Phase 3","2320","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Prevention","R01MH130948|STUDY00007607","June 5, 2023","December 31, 2027","December 31, 2027","January 26, 2023",,"August 1, 2023","Michigan State University, Flint, Michigan, United States",,"https://ClinicalTrials.gov/show/NCT05700760"
109,"NCT04769700","Post-partum Depression, Breastfeeding Adherence and Fear in COVID-19",,"Completed","No Results Available","Breast Feeding, Exclusive|Post Partum Depression|Covid19","Behavioral: Edinburgh Postnatal Depression Scale|Behavioral: Breast Feeding Adherence|Behavioral: Fear of Covid-19 Scale","Post-Partum Depression Frequency|Breast Feeding Adherence and behavior.|Fear of Covid-19 severity","Instituto Mexicano del Seguro Social","Female","18 Years and older   (Adult, Older Adult)",,"250","Other","Observational","Observational Model: Cohort|Time Perspective: Cross-Sectional","Lactancia1","January 1, 2021","June 1, 2021","June 1, 2021","February 24, 2021",,"October 2, 2023","Instituto Mexicano del Seguro Social, Guadalajara, Jalisco, Mexico",,"https://ClinicalTrials.gov/show/NCT04769700"
110,"NCT04427410","The Relationship Between Oxytocin Level and Postpartum Depression",,"Completed","No Results Available","Oxytocin Deficiency|Postpartum Depression|Prenatal Stress","Diagnostic Test: Salivary test","Oxytocin levels","Cukurova University|Ayseren Cevik","Female","18 Years and older   (Adult, Older Adult)",,"70","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","TYL-2019-12476","July 20, 2019","October 20, 2019","February 20, 2020","June 11, 2020",,"June 11, 2020","Cukurova University, Adana, Saricam, Turkey",,"https://ClinicalTrials.gov/show/NCT04427410"
