"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
367,"NCT04200807","Non-invasive Measurement of Neonatal Central and Peripheral Hemodynamics","NInHeDyNeo","Completed","No Results Available","Pre-Term|Neonatal Infection","Device: Ultrasound Cardiac Output Monitor (USCOM 1A)","Weight measurement|Height measurement|Chest and head circumference|Blood pressure measurement|Pulse rate measurement|Near- Infrared Spectroscopy for regional blood flow|Echocardioscopy for left ventricular outflow tract diameter|Echocardioscopy to measure velocity time integral|USCOM examination","Vilnius University","All","26 Weeks to 44 Weeks   (Child)",,"163","Other","Observational","Observational Model: Case-Control|Time Perspective: Prospective","NCPKV-2017","September 12, 2017","September 30, 2020","September 30, 2020","December 16, 2019",,"April 21, 2021","Vilnius University, Neonatology Centre, Vilnius, Lithuania",,"https://ClinicalTrials.gov/show/NCT04200807"
368,"NCT03801213","Evaluation of Urine Samples Obtained by Bladder Stimulation for the Diagnosis of Urinary Tract Infection in Infants","EEStiVeN","Completed","No Results Available","Urinary Tract Infection Bacterial","Device: urinary catheterization|Procedure: manual bladder stimulation technique","Bacterial contamination rates of urine samples per bladder stimulation and urinary catheterization|Pain of bladder stimulation|Pain of bladder catheterization|Diagnostic performance of the dipstick urine test|Risk factors associated with the failure of the bladder stimulation technique","Fondation Lenval","All","up to 6 Months   (Child)","Not Applicable","170","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","18-HPNCL-03","December 12, 2019","December 12, 2023","December 12, 2023","January 11, 2019",,"February 26, 2024","CH Antibes Juans les Pins, Antibes, France|CH Grasse, Grasse, France|CHRU Lille, Lille, France|Hôpitaux Pédiatriques de Nice CHU-Lenval, Nice, France",,"https://ClinicalTrials.gov/show/NCT03801213"
369,"NCT00177112","Impact of Sterilization Technique on Incidence of Urinary Tract Infection After Cystoscopy",,"Completed","No Results Available","Urinary Tract Infections","Procedure: clean patient preparation for cystoscopy|Procedure: sterile patient preparation for cystoscopy","To verify that the incidence rate of urinary tract infections after a routine outpatient cystoscopy is the same for non-sterile (clean) and sterile procedural techniques","University of Minnesota","All","18 Years and older   (Adult, Older Adult)","Phase 3","275","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","0412M65852|3519A","June 2005",,"October 2007","September 15, 2005",,"February 4, 2008","VAMC Minneapolis, Minneapolis, Minnesota, United States",,"https://ClinicalTrials.gov/show/NCT00177112"
370,"NCT00668122","Efficacy and Safety of CIPRO XR Versus CIPRO IR in Patients With Complicated Urinary Tract Infections","EMERON","Completed","No Results Available","Urinary Tract Infection","Drug: Cipro XR (Ciprofloxacin, BAYQ3939)|Drug: Cipro IR (Ciprofloxacin, BAYQ3939)","Bacteriological response 5 to 9 days after the last dose of study medication (TOC visit).|Bacteriological outcome during treatment|Bacteriological outcome at follow-up|Clinical outcome during treatment|Clinical outcome at the test-of-cure visit|Clinical outcome at follow-up|Adverse event collection","Bayer","All","18 Years and older   (Adult, Older Adult)","Phase 3","212","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","11454","March 2004",,"January 2006","April 28, 2008",,"June 30, 2009","Monza, Milano, Italy|Camposampiero, Padova, Italy|Orbassano, Torino, Italy|Busto Arsizio, Varese, Italy|Bassano del Grappa, Vicenza, Italy|Alessandria, Italy|Bari, Italy|Benevento, Italy|Bergamo, Italy|Bologna, Italy|Caserta, Italy|Catania, Italy|Chieti, Italy|Firenze, Italy|Frosinone, Italy|Genova, Italy|Genova, Italy|L'Aquila, Italy|Mantova, Italy|Massa Carrara, Italy|Messina, Italy|Milano, Italy|Napoli, Italy|Palermo, Italy|Perugia, Italy|Potenza, Italy|Reggio Calabria, Italy|Reggio Emilia, Italy|Rimini, Italy|Roma, Italy|Roma, Italy|Roma, Italy|Sassari, Italy|Siracusa, Italy|Torino, Italy|Trieste, Italy|Varese, Italy|Verona, Italy",,"https://ClinicalTrials.gov/show/NCT00668122"
371,"NCT02321800","A Study of Efficacy and Safety of Intravenous Cefiderocol (S-649266) Versus Imipenem/Cilastatin in Complicated Urinary Tract Infections","APEKS-cUTI","Completed","Has Results","Urinary Tract Infections","Drug: Cefiderocol|Drug: Imipenem/cilastatin","Percentage of Participants With Composite Response of Microbiological Eradication and Clinical Response at Test of Cure|Percentage of Participants With Composite Response of Microbiological Eradication and Clinical Response at Early Assessment|Percentage of Participants With Composite Response of Microbiological Eradication and Clinical Response at End of Treatment|Percentage of Participants With Composite Response of Microbiological Eradication and Clinical Response at Follow-up|Percentage of Participants With Microbiological Eradication at Test of Cure|Percentage of Participants With Microbiological Eradication at Early Assessment|Percentage of Participants With Microbiological Eradication at End of Treatment|Percentage of Participants With Microbiological Eradication at Follow-up|Percentage of Participants With Microbiological Eradication at Test of Cure Per Uropathogen|Percentage of Participants With Microbiological Eradication at Early Assessment Per Uropathogen|Percentage of Participants With Microbiological Eradication at End of Treatment Per Uropathogen|Percentage of Participants With Microbiological Eradication at Follow-up Per Uropathogen|Percentage of Participants With Clinical Response at Test of Cure|Percentage of Participants With Clinical Response at Early Assessment|Percentage of Participants With Clinical Response at End of Treatment|Percentage of Participants With Clinical Response at Follow-up|Percentage of Participants With Clinical Response at Test of Cure Per Uropathogen|Percentage of Participants With Clinical Response at Early Assessment Per Uropathogen|Percentage of Participants With Clinical Response at End of Treatment Per Uropathogen|Percentage of Participants With Clinical Response at Follow-up Per Uropathogen|Plasma Concentration of Cefiderocol|Urine Concentration of Cefiderocol|Number of Participants With Adverse Events","Shionogi|Shionogi Inc.","All","18 Years and older   (Adult, Older Adult)","Phase 2","452","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","1409R2121","February 5, 2015","July 26, 2016","August 16, 2016","December 22, 2014","December 12, 2019","December 12, 2019",,,"https://ClinicalTrials.gov/show/NCT02321800"
372,"NCT00771316","Clinical Trial to Study the Safety and Effectiveness of MK0826 and Other Antibiotic Therapy in Patients With Complicated Urinary Tract Infection (0826-054)",,"Terminated","Has Results","Urinary Tract Infections","Drug: MK0826 (ertapenem)|Drug: Comparator: meropenem","Number of Participants With Serious Urinary Tract Infection With an Overall Microbiological Response to MK0826 Compared to Meropenem at the 5 to 9 Day Post Therapy Early Follow-up Visit|Number of Participants With Serious Urinary Tract Infection With a Clinical Response to MK0826 Compared to Meropenem at Discontinuation of Intravenous Therapy (DCIV)|Number of Participants With Serious Urinary Tract Infection With an Overall Microbiological Response to MK0826 Compared to Meropenem at Discontinuation of Intravenous Therapy (DCIV)","Merck Sharp & Dohme LLC","All","18 Years and older   (Adult, Older Adult)","Phase 3","6","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","0826-054|MK0826-054|2008_562","December 2008","June 2009","June 2009","October 13, 2008","July 9, 2010","March 21, 2017",,,"https://ClinicalTrials.gov/show/NCT00771316"
373,"NCT00216853","A Study of Vaginal MicroFlora and Immune Profiles of Patients With Recurrent Urinary Tract Infection",,"Completed","No Results Available","Urinary Tract Infections",,,"Lawson Health Research Institute|Natural Sciences and Engineering Research Council, Canada","Female","20 Years to 80 Years   (Adult, Older Adult)",,"44","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","R-03-202|9875E","September 2003","June 2006","March 2007","September 22, 2005",,"April 16, 2009","St. Joseph's Health Centre, London, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT00216853"
374,"NCT02424461","Antibiotic Treatment for 7 Days Versus 14 Days in Patients With Acute Male Urinary Tract Infection","PROSTASHORT","Unknown status","No Results Available","Acute Male Urinary Tract Infection","Drug: Ceftriaxone|Drug: Ofloxacine|Drug: Placebo of ofloxacine","Success defined by resolution of fever|Intestinal carriage of antimicrobial-resistant Gram-negative bacilli|Incidence and severity of adverse drug events|Recurrent UTI","Assistance Publique - Hôpitaux de Paris","Male","18 Years and older   (Adult, Older Adult)","Phase 3","400","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","P120116|AOM12268","February 2015","February 2020","December 2020","April 23, 2015",,"February 11, 2020","Saint Louis hospital, Paris, France",,"https://ClinicalTrials.gov/show/NCT02424461"
375,"NCT00318591","Comparative Study of Intermittent Catheters and Occurrence of Urinary Tract Infections",,"Completed","Has Results","Urinary Tract Infections","Device: SpeediCath|Device: Conveen Uncoated","Occurrence of Symptomatic Urinary Tract Infections (UTIs)|UTIs With Bacteriuria >=100 Colony Forming Units (CFU)/ml|Nurse Evaluation of Catheters - Overall Satisfaction|Patient or Caregiver's Evaluation of Catheters - Overall Satisfaction|Nurse Time Spent on Catheterization Procedure|Device-related or Possibly Device-related AEs|Number of Participants With One or More Urinary Tract Infection","Coloplast A/S","All","18 Years and older   (Adult, Older Adult)","Not Applicable","219","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","DK046CC","April 2006","October 2009","October 2009","April 27, 2006","May 25, 2011","February 10, 2021","Rancho Los Amigos National Rehabilitation Center, Downey, California, United States|Santa Clara Valley Medical Center, San Jose, California, United States|Craig Hospital, Englewood, Colorado, United States|University of Miami, Miami, Florida, United States|Shepherd Center, Atlanta, Georgia, United States|Boston Medical School, Boston, Massachusetts, United States|University of Michigan Helaths Systems, Ann Arbor, Michigan, United States|Mayo Clinic, Saint Mary Hospital MB3CF Rehabilitation, Rochester, Minnesota, United States|Kessler Institute for Rehabilitation, West Orange, New Jersey, United States|Mount Sinai School of Medicine, New York, New York, United States|Carolinas Medical Center, Charlotte, North Carolina, United States|The Institute for Rehabilitation and Research (TIRR), Houston, Texas, United States|University of Alberta, Edmonton, Alberta, Canada|G.F.Strong Rehabilitation Centre, Vancouver, British Columbia, Canada|Parkwood Rehabilitation Centre, London, Ontario, Canada|Toronto Rehabilitation Centre, Toronto, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT00318591"
376,"NCT02568800","Prolonged Infusion Cefepime and Nosocomial Infections","PICNIC","Unknown status","No Results Available","Urinary Tract Infection|Respiratory Tract Infection","Drug: Prolonged Cefepime Infusion|Drug: Usual Cefepime Infusion","Death|Duration of hospital stay|Intensive care unit (ICU) admission|Duration of intensive care unit (ICU) stay|Treatment change|Treatment success|Time to clinical stability","Hospital de Clinicas de Porto Alegre","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 3","134","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","15-0392","October 2015","March 2016","September 2016","October 6, 2015",,"October 16, 2015","Hospital de Clínicas de Porto Alegre, Porto Alegre, Rio Grande do Sul, Brazil",,"https://ClinicalTrials.gov/show/NCT02568800"
377,"NCT05153694","Infectious Complications After Cystectomy: A Prospective Observational Study",,"Recruiting","No Results Available","Bladder Cancer|Infections|Infection, Bacterial|Infection, Hospital|Infection Wound|Urinary Tract Infections|Urinary Bladder Diseases|Urinary Tract Disease","Procedure: Cystectomy","Infectious Complications","Ludwig-Maximilians - University of Munich","All","Child, Adult, Older Adult",,"200","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","RCXINFLMU","December 1, 2021","November 30, 2023","November 30, 2024","December 10, 2021",,"December 10, 2021","Urology Department - LMU Klinikum, Munich, Outside U.S./Canada, Germany",,"https://ClinicalTrials.gov/show/NCT05153694"
378,"NCT00379951","A Study to Assess the Safety, Tolerability and Efficacy of Ertapenem Sodium in the Treatment of Complicated Urinary Tract Infections (0826-048)",,"Completed","No Results Available","Urinary Tract Infection","Drug: ertapenem sodium","Safety and tolerability|Compare signs and symptoms of urinary tract infections at 14 days after treatment compared with signs and symptoms before treatment","Merck Sharp & Dohme LLC","All","18 Years and older   (Adult, Older Adult)","Phase 3","107","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","0826-048|2006_036","June 2005","May 2006","May 2006","September 25, 2006",,"February 17, 2017",,,"https://ClinicalTrials.gov/show/NCT00379951"
379,"NCT04831840","Recurrent Urinary Tract Infections and the Microbiome",,"Recruiting","No Results Available","Recurrent Urinary Tract Infection",,"Proportion of uropathogens|Proportion of patients negative for repeat testing","University of Miami","Female","18 Years to 90 Years   (Adult, Older Adult)",,"180","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","20201198","May 26, 2021","June 1, 2024","June 1, 2024","April 5, 2021",,"April 12, 2023","Holy Cross Hospital, Fort Lauderdale, Florida, United States|University of Miami, Miami, Florida, United States",,"https://ClinicalTrials.gov/show/NCT04831840"
380,"NCT05509413","DEFLAGYN® Vaginal Gel and Spontaneous Remission and Regression of Unclear Cervical Smears and HPV High-risk Infections","HPV-VG1","Recruiting","No Results Available","Cervix Dysplasia|HPV Infection","Device: DEFLAGYN vaginal gel","Rate of hr-HPV-positive cervical smears|Rate of progression|Rate of newly diagnosed dysplasia|Complications","Ruhr University of Bochum","Female","18 Years and older   (Adult, Older Adult)","Not Applicable","168","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","HPV-VG1","November 8, 2022","May 2024","November 2024","August 22, 2022",,"January 26, 2023","Marien Hospital Herne, Herne, North Rhine-Westphalia, Germany",,"https://ClinicalTrials.gov/show/NCT05509413"
381,"NCT05309317","Preventing Catheter-Associated Urinary Tract Infections With a Virtual Simulation Game","CAUTI-VSG","Completed","No Results Available","Catheter-Associated Urinary Tract Infection|Nurse's Role","Other: Virtual Simulation Game for the Prevention of Catheter-Associated Urinary Tract Infections|Other: Ongoing education","Knowledge Level|Skill level|Opinions of the experimental group about the virtual simulation game","Gazi University","All","18 Years and older   (Adult, Older Adult)","Not Applicable","75","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Prevention","57440","May 21, 2022","May 28, 2022","October 25, 2022","April 4, 2022",,"March 1, 2024","Gazi University, Ankara, Turkey",,"https://ClinicalTrials.gov/show/NCT05309317"
382,"NCT01067768","Reduction of Catheter-associated Urinary Tract Infection With a Daily Nursing Review of the Indication",,"Completed","Has Results","Urinary Tract Infections|Urinary Tract; Accessory","Other: Daily review","Rate of Catheter-associated Urinary Tract Infection|Catheter Days","Hospital Pablo Tobón Uribe","All","18 Years and older   (Adult, Older Adult)","Not Applicable","1209","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","5100-66592","November 2009","September 2010","September 2010","February 12, 2010","August 4, 2011","March 5, 2019","Hospital Pablo Tobon Uribe, Medellin, Antioquia, Colombia",,"https://ClinicalTrials.gov/show/NCT01067768"
383,"NCT05826067","Study of E. Coli Isolates From Recurrent Urinary Tract Infections","Per-UTI","Not yet recruiting","No Results Available","Urinary Tract Infections|Patients With Suprabubic Catheter|Patients With Nephrostomy Catheter","Other: collection of bacterial strains","collection of longitudinal E. coli to be used for fundamental research","Université Catholique de Louvain","All","18 Years and older   (Adult, Older Adult)",,"45","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","Per-UTI","April 20, 2023","December 31, 2024","December 31, 2024","April 24, 2023",,"April 26, 2023",,,"https://ClinicalTrials.gov/show/NCT05826067"
384,"NCT00261248","Vaccine for Recurrent Urinary Tract Infections in Women",,"Completed","No Results Available","Recurrent Urinary Tract Infections in Women","Biological: Immunization with inactivated bacteria","Rate of re-infection over the study|Infection-free status at completion of study","University of Wisconsin, Madison|National Institutes of Health (NIH)","Female","18 Years to 75 Years   (Adult, Older Adult)","Phase 2","75","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double|Primary Purpose: Prevention","1996-295|DK-30808","November 1996",,"December 2003","December 2, 2005",,"October 5, 2015","University of Wisconsin Hospital and Clinics, Madison, Wisconsin, United States",,"https://ClinicalTrials.gov/show/NCT00261248"
385,"NCT00801021","Treatment and/or Prevention of Urinary Tract Infections","UTI","Completed","No Results Available","Cystitis|Urinary Tract Infections","Drug: Frio Mouth Rinse","The primary efficacy endpoint is the reduction of the baseline pathogen at the Days 7 to 10 ""Test of Cure"" visit.|The secondary efficacy endpoint of microbiological evaluation classified into four categories (i.e., Eradication, Persistence, Superinfection, and New Infection)","Biomedical Development Corporation|National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)|Baylor College of Medicine","Female","18 Years and older   (Adult, Older Adult)","Phase 1","3","Industry|NIH|Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","H-23281|1R41DK082089-01","December 2008","June 2009","June 2009","December 3, 2008",,"March 8, 2010","Ben Taub General Hospital, Houston, Texas, United States",,"https://ClinicalTrials.gov/show/NCT00801021"
386,"NCT01505634","Safety, Tolerability, and Efficacy of MK-7655 (Relebactam) + Imipenem/Cilastatin Versus Imipenem/Cilastatin Alone for Treating Complicated Urinary Tract Infection (cUTI) (MK-7655-003)",,"Completed","Has Results","Urinary Tract Infections|Pyelonephritis","Drug: Relebactam 250 mg|Drug: Relebactam 125 mg|Drug: imipenem/cilastatin 500 mg|Drug: Placebo to relebactam|Drug: Ciprofloxacin","Percentage of Participants With a Favorable Microbiological Response at Completion of IV Study Therapy|Percentage of Participants With an Elevated Aspartate Aminotransferase (AST) or Alanine Aminotransferase (ALT) Laboratory Value That Was Greater Than or Equal to 5 Times the Upper Limit of Normal (ULN)|Percentage of Participants With Elevated AST or ALT Laboratory Values ≥ 3 Times the ULN, as Well as Elevated Total Bilirubin ≥ 2 Times the ULN, and Alkaline Phosphatase Values That Were < 2 Times the ULN|Percentage of Participants With at Least 1 Adverse Event (AE)|Percentage of Participants With Any Serious Adverse Event (SAE)|Percentage of Participants With Any Drug-related AE|Percentage of Participants With a Drug-related SAE|Percentage of Participants Who Discontinued IV Study Therapy Due to an AE|Percentage of Participants Who Discontinued IV Study Therapy Due to a Drug-related AE|Percentage of Participants With Specific AEs With Incidence of >= 4 Participants in One Treatment Group|Percentage of Participants With a Favorable Microbiological Response at Completion of IV Study Therapy Who Had Imipenem-resistant, Gram-negative cUTI Infections.|Percentage of Participants With a Favorable Microbiological Response at Early Follow-up|Percentage of Participants With a Favorable Clinical Response at Completion of IV Study Therapy|Percentage of Participants With a Favorable Clinical Response at Early Follow-up|Percentage of Participants With a Favorable Clinical Response at Late Follow-up|Percentage of Participants With a Favorable Microbiological Response at Late Follow-up","Merck Sharp & Dohme LLC","All","18 Years and older   (Adult, Older Adult)","Phase 2","302","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","7655-003|2011-005707-32|MK-7655-003","May 16, 2012","July 28, 2015","July 28, 2015","January 6, 2012","May 24, 2019","May 24, 2019",,,"https://ClinicalTrials.gov/show/NCT01505634"
387,"NCT05553652","The Effect of ASTARTE™ on Recurrent Urinary Tract Infection","rUTI","Recruiting","No Results Available","Recurrent Urinary Tract Infection","Dietary Supplement: ASTARTE™ oral capsules|Dietary Supplement: Placebo oral capsules","Reduction of UTI cases|Number of UTI after intervention|UTI symptoms|Change of vaginal microbiome|Change of gut microbiome","Hvidovre University Hospital","Female","18 Years to 40 Years   (Adult)","Not Applicable","720","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Health Services Research","H-22014666","September 19, 2022","August 1, 2024","December 1, 2027","September 23, 2022",,"September 23, 2022","Gastrounit, Copenhagen University Hospital Hvidovre, Hvidovre, Copenhagen, Denmark",,"https://ClinicalTrials.gov/show/NCT05553652"
388,"NCT00678028","Association Between Deficiency of MBL (Mannose-Binding Lectin) and Polymorphisms in MBL2 Gene to Urinary Tract Infection",,"Completed","No Results Available","Recurrent Urinary Tract Infections",,,"HaEmek Medical Center, Israel","Female","18 Years to 50 Years   (Adult)",,"200","Other","Observational","Observational Model: Case-Control|Time Perspective: Prospective","0080-07-EMC","February 2008",,,"May 15, 2008",,"April 23, 2009","Ha'Emek Medical Center, Afula, Israel",,"https://ClinicalTrials.gov/show/NCT00678028"
389,"NCT03140085","Bacteriophages for Treating Urinary Tract Infections in Patients Undergoing Transurethral Resection of the Prostate",,"Completed","No Results Available","Intravesical Bacteriophage Treatment for Urinary Tract Infections","Biological: PYO Phage|Drug: Antibiotics|Other: Sterile bacteriology media","Normalisation of urine culture|Urine culture|Bladder diary|Pain diary|IPSS questionnaire","Balgrist University Hospital","All","18 Years and older   (Adult, Older Adult)","Phase 2|Phase 3","97","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Care Provider)|Primary Purpose: Treatment","02/283","June 2, 2017","December 14, 2018","December 14, 2018","May 4, 2017",,"March 21, 2019","National Center of Urology, Tbilisi, Georgia",,"https://ClinicalTrials.gov/show/NCT03140085"
390,"NCT05723601","Preference of Women With Recurrent Urinary Tract Infection for Vaginal Estradiol Tablet vs Cream",,"Recruiting","No Results Available","Recurrent Urinary Tract Infection","Drug: Estradiol vaginal cream|Drug: Estradiol Vaginal Tablet","Patient preference rate for vaginal estradiol cream versus tablet|Change in vaginal and urinary microbiome Lactobacillus amount with the use of vaginal estradiol tablet versus cream|Change in overall satisfaction, convenience, side effects, and effectiveness of vaginal estradiol cream vs tablet using Treatment Satisfaction Questionnaire for Medication (TSQM)|Changes in adherence scores","Wake Forest University Health Sciences","Female","20 Years to 80 Years   (Adult, Older Adult)","Phase 4","24","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Single (Investigator)|Primary Purpose: Prevention","IRB00092892","January 12, 2024","January 2025","January 2025","February 10, 2023",,"January 19, 2024","Wake Forest University Health Sciences, Winston-Salem, North Carolina, United States",,"https://ClinicalTrials.gov/show/NCT05723601"
391,"NCT03612297","Selective Reporting of Antibiotic Susceptibility Test Results in Urinary Tract Infections in the Outpatient Setting",,"Unknown status","No Results Available","Urinary Tract Infections","Diagnostic Test: Selective reporting of Antibiotic Susceptibility Tests","Impact of selective reporting of AST for E. coli positive urine cultures in outpatient setting on the prescription of broad-spectrum antibiotics frequently used on UTIs (amoxicillin-clavulanate, third generation cephalosporins and fluoroquinolones)|Laboratory expenditures (in euros) for the implementation of the intervention|Satisfaction of GPs and laboratory staffs about selective reporting of AST, assessed by a visual analog scale","Central Hospital, Nancy, France|University of Lorraine","All","18 Years and older   (Adult, Older Adult)",,"64000","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","PREPS-17-0026","September 1, 2018","December 31, 2019","April 30, 2020","August 2, 2018",,"August 2, 2018",,,"https://ClinicalTrials.gov/show/NCT03612297"
392,"NCT04846803","Bacterial Interference for Preventing Recurrent Urinary Tract Infection - New Ways of Treatment","BIrUTI","Recruiting","No Results Available","Recurrent Urinary Tract Infections","Biological: ABU bladder lavage|Biological: Saline bladder lavage","The number of UTI events in the follow-up period|Time to first UTI after the intervention|Quality of life by standard Questionnaires_ICIQ-OABqol 08/04|O´Leary-Sant Voiding and Pain symptom score|EQ-5D-5L|CRF|Hospitalization|Complications (bleeding, pain)|Microbiological diagnostics: Etiology, resistance|Creatinin|Leukocytes and neutrofilocytes|Natrium and kalium|CRP","Odense University Hospital","All","18 Years to 90 Years   (Adult, Older Adult)","Not Applicable","80","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","BIrUTI","January 9, 2024","August 1, 2025","December 1, 2026","April 15, 2021",,"January 23, 2024","Aarhus University Hospital, Aarhus N, Denmark|Odense University Hospital, Odense C, Denmark",,"https://ClinicalTrials.gov/show/NCT04846803"
393,"NCT05652374","Gag Therapy for Recurrent Urinary Tract Infection Assessing Comparability to International Nitrofurantoin Gold Standard Study","GT RACING","Recruiting","No Results Available","Recurrent Urinary Tract Infection","Device: Ialuril 50ml Prefill|Drug: Nitrofurantoin","Number of urinary tract infections|Time to first urinary tract infection|Global Assessment of Improvement|Antibiotics resistance|Cost-effectiveness: medical consumption questionnaire|Cost-effectiveness: productivity cost questionnaire|Therapy specific patient reported outcomes (symptoms & bother)|General quality of life questionnaire (mobility, self-care, daily activities, pain/discomfort, anxiety/depression)","Radboud University Medical Center|IBSA Institut Biochimique SA|Goodlife Pharma B.V.","Female","18 Years and older   (Adult, Older Adult)","Phase 4","100","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","111802|NL76892.091.21","October 20, 2022","October 2025","October 2025","December 15, 2022",,"December 15, 2022","Radboudumc, Nijmegen, Gelderland, Netherlands",,"https://ClinicalTrials.gov/show/NCT05652374"
394,"NCT05895578","Effect of a Probiotic on the Urinary Tract Microbiota of Participants With Recurrent Urinary Tract Infection.","PROBUTI","Recruiting","No Results Available","Recurrent Urinary Tract Infection","Dietary Supplement: Probiotic|Dietary Supplement: Probiotic + placebo|Dietary Supplement: Placebo","Evaluate the number of participants with a positive urine culture|Evaluate the total bacterial count in urine samples.|Number of UTI episodes|Infection free participants (%)|Elapsed time until the 1st episode of UTI.|Elapsed time between the 1st and 2nd episode of UTI.|Elapsed time between the 2nd and 3rd episode of UTI.|Duration of UTI episodes.|The number of participants which associate sexual activity with the UTI episodes|Number of present symptoms during new UTI episodes.|Number of participants with dysuria.|Duration of dysuria.|Number of participants with pollakiuria|Duration of pollakiuria|Number of participants with urinary urgency.|Duration of urinary urgency.|Number of participants with tenesmus.|Duration of tenesmus.|Number of participants with hematuria.|Duration of hematuria|Number of participants with dyspareunia|Duration of dyspareunia|Number of participants with pelvic pain|Duration of pelvic pain|Number of participants with fever (Tª ≥ 38ºC).|Duration of fever (Tª ≥ 38ºC).|Number of participants with cloudy and smelly urine|Duration of cloudy and smelly urine|Number of antibiotics administered for the UTI episode.|Duration of antibiotic treatment for the UTI episode.|Number of antibiotic treatments administered during new UTI episodes.|Duration of antibiotic treatments administered during new UTI episodes.|Microbiome composition of stool samples determined by 16S sequencing.|Microbiota composition of urine samples determined by culture techniques.|Metabolomic profile of urine samples.","ProbiSearch SL","Female","18 Years to 55 Years   (Adult)","Not Applicable","90","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","UTI/23.01","June 21, 2023","September 2024","November 2024","June 8, 2023",,"January 17, 2024","Hospital La Moraleja, Madrid, Spain|Hospital La Zarzuela, Madrid, Spain|Hospital San Francisco de Asís, Madrid, Spain",,"https://ClinicalTrials.gov/show/NCT05895578"
