doi,OA_color,issn,journal,publisher,date
10.1136/bmjgh-2018-001339,gold,2059-7908,BMJ Global Health,BMJ,2019-07-01
10.1016/S2214-109X(17)30421-7,gold,2214-109X,The Lancet Global Health,Elsevier BV,2018-01-01
10.5539/gjhs.v8n10p1,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2016-02-24
10.1017/gmh.2019.7,gold,2054-4251,Global Mental Health,Cambridge University Press (CUP),2019-01-01
10.1017/gmh.2020.14,gold,2054-4251,Global Mental Health,Cambridge University Press (CUP),2020-01-01
10.7189/jogh.10.010424,gold,"2047-2978,2047-2986",Journal of Global Health,International Global Health Society,2020-06-01
10.5539/gjhs.v8n5p89,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2015-09-02
10.1016/S2214-109X(18)30494-7,gold,2214-109X,The Lancet Global Health,Elsevier BV,2019-03-01
10.5539/gjhs.v7n5p233,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2015-03-18
10.5539/gjhs.v6n6p178,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2014-07-29
10.5539/gjhs.v8n9p281,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2016-02-02
10.5539/gjhs.v7n7p6,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2015-03-26
10.1136/bmjgh-2020-002349,gold,2059-7908,BMJ Global Health,BMJ,2020-07-01
10.1016/S2214-109X(19)30315-8,gold,2214-109X,The Lancet Global Health,Elsevier BV,2019-09-01
10.1016/S2214-109X(19)30032-4,gold,2214-109X,The Lancet Global Health,Elsevier BV,2019-05-01
10.1016/S2214-109X(19)30343-2,gold,2214-109X,The Lancet Global Health,Elsevier BV,2019-10-01
10.1136/bmjgh-2018-001172,,,,,
10.5539/gjhs.v5n6p126,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2013-09-10
10.1136/bmjgh-2022-010512,gold,2059-7908,BMJ Global Health,BMJ,2022-12-01
10.5539/gjhs.v8n3p131,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2015-07-12
10.1016/S2214-109X(16)30048-1,gold,2214-109X,The Lancet Global Health,Elsevier BV,2016-05-01
10.1136/bmjgh-2019-001651,gold,2059-7908,BMJ Global Health,BMJ,2019-09-01
10.5539/gjhs.v8n5p217,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2015-10-20
10.5539/gjhs.v4n1p3,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2011-12-29
10.1136/bmjgh-2017-000632,gold,2059-7908,BMJ Global Health,BMJ,2018-02-01
10.5539/gjhs.v6n4p221,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2014-04-20
10.1136/bmjgh-2021-005000,gold,2059-7908,BMJ Global Health,BMJ,2021-07-01
10.1177/2333794X19833995,gold,"2333-794X,2333-794X",Global Pediatric Health,SAGE Publications,2019-01-01
10.5539/gjhs.v7n2p139,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2014-10-09
10.1016/S2214-109X(19)30254-2,gold,2214-109X,The Lancet Global Health,Elsevier BV,2019-08-01
10.1016/S2214-109X(21)00168-6,gold,2214-109X,The Lancet Global Health,Elsevier BV,2021-05-01
10.1136/bmjgh-2019-001546,gold,2059-7908,BMJ Global Health,BMJ,2019-11-01
10.7189/jogh.09.020424,gold,"2047-2978,2047-2986",Journal of Global Health,International Global Health Society,2019-11-24
10.1136/bmjgh-2018-000973,gold,2059-7908,BMJ Global Health,BMJ,2019-01-01
10.1080/16549716.2018.1431362,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2018-01-01
10.1177/2333794X241240302,gold,"2333-794X,2333-794X",Global Pediatric Health,SAGE Publications,2024-01-01
10.1017/gmh.2023.92,gold,2054-4251,Cambridge Prisms: Global Mental Health,Cambridge University Press (CUP),2024-01-03
10.5539/gjhs.v6n3p256,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2014-04-11
10.7189/jogh.09.020402,gold,"2047-2978,2047-2986",Journal of Global Health,International Society of Global Health,2019-07-25
10.1136/bmjgh-2023-013282,gold,2059-7908,BMJ Global Health,BMJ,2024-02-01
10.1177/2333794X17735972,gold,"2333-794X,2333-794X",Global Pediatric Health,SAGE Publications,2017-01-01
10.5539/gjhs.v7n1p98,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2014-08-14
10.1016/S2214-109X(18)30126-8,gold,2214-109X,The Lancet Global Health,Elsevier BV,2018-06-01
10.7189/jogh.10.010406,gold,"2047-2978,2047-2986",Journal of Global Health,International Global Health Society,2020-03-30
10.1016/S2214-109X(18)30061-5,gold,2214-109X,The Lancet Global Health,Elsevier BV,2018-05-01
10.1016/S2214-109X(17)30146-8,gold,2214-109X,The Lancet Global Health,Elsevier BV,2017-06-01
10.1136/bmjgh-2019-002223,gold,2059-7908,BMJ Global Health,BMJ,2020-05-01
10.7189/jogh.08.020418,gold,"2047-2978,2047-2986",Journal of Global Health,International Global Health Society,2018-10-02
10.1016/S2214-109X(19)30316-X,gold,2214-109X,The Lancet Global Health,Elsevier BV,2019-10-01
10.1017/gmh.2018.18,gold,2054-4251,Global Mental Health,Cambridge University Press (CUP),2018-01-01
10.7189/jogh.09.010430,gold,"2047-2978,2047-2986",Journal of Global Health,International Global Health Society,2019-06-01
10.5539/gjhs.v7n7p1,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2015-03-26
10.1016/S2214-109X(18)30005-6,gold,2214-109X,The Lancet Global Health,Elsevier BV,2018-03-01
10.1016/S2214-109X(17)30490-4,gold,2214-109X,The Lancet Global Health,Elsevier BV,2018-03-01
10.5539/gjhs.v7n6p88,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2015-03-30
10.5539/gjhs.v6n7p23,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2014-09-18
10.1186/s41256-018-0066-y,gold,2397-0642,Global Health Research and Policy,Springer Science and Business Media LLC,2018-04-04
10.5539/gjhs.v6n2p163,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2013-12-24
10.1016/S2214-109X(16)30052-3,gold,2214-109X,The Lancet Global Health,Elsevier BV,2016-06-01
10.5539/gjhs.v6n6p198,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2014-07-29
10.5539/gjhs.v6n7p31,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2014-09-18
10.5539/gjhs.v8n9p200,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2016-01-22
10.7189/jogh.09.010418,gold,"2047-2978,2047-2986",Journal of Global Health,International Global Health Society,2019-02-21
10.1016/S2214-109X(15)00207-7,gold,2214-109X,The Lancet Global Health,Elsevier BV,2016-01-01
10.5539/gjhs.v8n7p179,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2015-11-18
10.1016/S2214-109X(23)00453-9,gold,2214-109X,The Lancet Global Health,Elsevier BV,2023-12-01
10.1371/journal.pgph.0002683,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2023-12-05
10.1080/17441692.2019.1609062,closed,"1744-1692,1744-1706",Global Public Health,Informa UK Limited,2019-05-13
10.1016/S2214-109X(18)30004-4,gold,2214-109X,The Lancet Global Health,Elsevier BV,2018-03-01
10.1016/S2214-109X(18)30023-8,gold,2214-109X,The Lancet Global Health,Elsevier BV,2018-04-01
10.1136/bmjgh-2017-000702,gold,2059-7908,BMJ Global Health,BMJ,2018-03-01
10.1136/bmjgh-2016-000104,gold,2059-7908,BMJ Global Health,BMJ,2016-11-01
10.5539/gjhs.v7n3p177,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2014-11-30
10.1016/S2214-109X(23)00412-6,gold,2214-109X,The Lancet Global Health,Elsevier BV,2023-11-01
10.5539/gjhs.v6n1p76,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2013-10-15
10.1371/journal.pgph.0002578,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2024-03-14
10.1017/gmh.2018.17,gold,2054-4251,Global Mental Health,Cambridge University Press (CUP),2018-01-01
10.1016/S2214-109X(16)30201-7,gold,2214-109X,The Lancet Global Health,Elsevier BV,2016-12-01
10.1016/S2214-109X(16)30200-5,gold,2214-109X,The Lancet Global Health,Elsevier BV,2016-12-01
10.1016/S2214-109X(17)30184-5,gold,2214-109X,The Lancet Global Health,Elsevier BV,2017-06-01
10.5539/gjhs.v7n7p17,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2015-03-26
10.5539/gjhs.v8n2p126,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2015-06-12
10.1016/S2214-109X(16)30363-1,gold,2214-109X,The Lancet Global Health,Elsevier BV,2017-03-01
10.5539/gjhs.v7n1p59,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2014-08-14
10.5539/gjhs.v8n7p18,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2015-11-03
10.1080/16549716.2017.1419738,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2018-01-01
10.1136/bmjgh-2019-001393,gold,2059-7908,BMJ Global Health,BMJ,2019-05-01
10.1177/17579759231212436,closed,"1757-9759,1757-9767",Global Health Promotion,SAGE Publications,2024-01-05
10.5539/gjhs.v7n1p280,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2014-10-09
10.1136/bmjgh-2017-000452,gold,2059-7908,BMJ Global Health,BMJ,2017-12-01
10.1177/1757975914568901,green,"1757-9759,1757-9767",Global Health Promotion,SAGE Publications,2016-07-09
10.1016/S2214-109X(23)00118-3,closed,2214-109X,The Lancet Global Health,Elsevier BV,2023-04-01
10.7189/jogh.14.04009,gold,"2047-2978,2047-2986",Journal of Global Health,International Society of Global Health,2024-02-02
10.5539/gjhs.v8n10p227,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2016-02-25
10.1080/16549716.2018.1523303,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2018-01-01
10.1016/S2214-109X(17)30187-0,gold,2214-109X,The Lancet Global Health,Elsevier BV,2017-07-01
10.1016/S2214-109X(16)30335-7,gold,2214-109X,The Lancet Global Health,Elsevier BV,2017-02-01
10.1016/S2214-109X(15)00249-1,gold,2214-109X,The Lancet Global Health,Elsevier BV,2016-01-01
10.5539/gjhs.v7n3p230,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2014-11-30
10.1017/gmh.2017.7,gold,2054-4251,Global Mental Health,Cambridge University Press (CUP),2017-01-01
10.1136/bmjgh-2023-013691,gold,2059-7908,BMJ Global Health,BMJ,2024-02-01
10.5539/gjhs.v5n6p197,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2013-09-29
10.1371/journal.pgph.0002691,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2024-01-08
10.7189/jogh.14.04020,gold,"2047-2978,2047-2986",Journal of Global Health,International Society of Global Health,2024-02-23
10.1371/journal.pgph.0002451,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2024-02-07
10.5539/gjhs.v7n3p298,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2015-01-13
10.5539/gjhs.v8n9p261,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2016-02-02
10.1016/S2214-109X(22)00326-6,gold,2214-109X,The Lancet Global Health,Elsevier BV,2022-10-01
10.1136/bmjgh-2018-001109,gold,2059-7908,BMJ Global Health,BMJ,2018-12-01
10.1371/journal.pgph.0002491,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2024-03-04
10.1136/bmjgh-2021-007192,gold,2059-7908,BMJ Global Health,BMJ,2022-02-01
10.7189/jogh.07.020404,gold,"2047-2978,2047-2986",Journal of Global Health,International Society of Global Health,2017-09-19
10.1017/gmh.2018.20,gold,2054-4251,Global Mental Health,Cambridge University Press (CUP),2018-01-01
10.3402/gha.v9.30578,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2016-07-28
10.5539/gjhs.v4n1p229,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2011-12-29
10.5539/gjhs.v8n1p217,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2015-05-21
10.1017/gmh.2018.11,gold,2054-4251,Global Mental Health,Cambridge University Press (CUP),2018-01-01
10.1016/S2214-109X(17)30296-6,gold,2214-109X,The Lancet Global Health,Elsevier BV,2017-09-01
10.1016/S2214-109X(17)30143-2,gold,2214-109X,The Lancet Global Health,Elsevier BV,2017-05-01
10.1186/s12992-017-0314-9,gold,1744-8603,Globalization and Health,Springer Science and Business Media LLC,2017-12-01
10.1177/2333794X17725983,gold,"2333-794X,2333-794X",Global Pediatric Health,SAGE Publications,2017-01-01
10.5539/gjhs.v6n3p227,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2014-03-30
10.1136/bmjgh-2015-000020,gold,2059-7908,BMJ Global Health,BMJ,2016-07-01
10.5539/gjhs.v7n3p52,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2014-10-29
10.1016/S2214-109X(20)30547-7,gold,2214-109X,The Lancet Global Health,Elsevier BV,2021-04-01
10.1177/2333794X16654851,gold,"2333-794X,2333-794X",Global Pediatric Health,SAGE Publications,2016-01-01
10.5539/gjhs.v8n2p240,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2015-06-25
10.5539/gjhs.v6n3p219,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2014-03-30
10.5539/gjhs.v8n10p24,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2016-02-24
10.1017/gmh.2015.28,gold,2054-4251,Global Mental Health,Cambridge University Press (CUP),2016-01-01
10.1016/S2214-109X(16)30223-6,gold,2214-109X,The Lancet Global Health,Elsevier BV,2016-11-01
10.1177/2333794X16679587,gold,"2333-794X,2333-794X",Global Pediatric Health,SAGE Publications,2016-01-01
10.1371/journal.pgph.0001002,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2022-11-02
10.3402/gha.v6i0.22476,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2013-12-01
10.1136/bmjgh-2018-001222,gold,2059-7908,BMJ Global Health,BMJ,2018-10-01
10.5539/gjhs.v6n7p124,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2014-09-18
10.5539/gjhs.v5n6p19,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2013-07-24
10.5539/gjhs.v6n4p278,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2014-05-04
10.1016/S2214-109X(20)30469-1,gold,2214-109X,The Lancet Global Health,Elsevier BV,2021-03-01
10.1016/S2214-109X(17)30339-X,gold,2214-109X,The Lancet Global Health,Elsevier BV,2017-10-01
10.3402/gha.v9.30528,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2016-06-23
10.1016/S2214-109X(15)00287-9,gold,2214-109X,The Lancet Global Health,Elsevier BV,2016-02-01
10.1016/S2214-109X(15)00219-3,gold,2214-109X,The Lancet Global Health,Elsevier BV,2016-01-01
10.5539/gjhs.v8n4p244,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2015-09-01
10.5539/gjhs.v8n4p166,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2015-08-06
10.1017/gmh.2017.29,gold,2054-4251,Global Mental Health,Cambridge University Press (CUP),2018-01-01
10.5539/gjhs.v8n7p165,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2015-11-18
10.5539/gjhs.v5n3p139,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2013-02-24
10.1016/S2214-109X(16)30096-1,gold,2214-109X,The Lancet Global Health,Elsevier BV,2016-07-01
10.1016/S2214-109X(16)30215-7,gold,2214-109X,The Lancet Global Health,Elsevier BV,2016-11-01
10.5539/gjhs.v8n7p212,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2015-12-18
10.1017/gmh.2017.10,gold,2054-4251,Global Mental Health,Cambridge University Press (CUP),2017-01-01
10.1080/17441692.2020.1828984,closed,"1744-1692,1744-1706",Global Public Health,Informa UK Limited,2020-10-06
10.1016/S2214-109X(15)00144-8,gold,2214-109X,The Lancet Global Health,Elsevier BV,2015-11-01
10.5539/gjhs.v7n5p266,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2015-03-18
10.5539/gjhs.v8n2p117,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2015-06-12
10.5539/gjhs.v8n3p80,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2015-06-25
10.1016/S2214-109X(15)00100-X,gold,2214-109X,The Lancet Global Health,Elsevier BV,2015-08-01
10.1136/bmjgh-2021-006141,gold,2059-7908,BMJ Global Health,BMJ,2021-07-01
10.5539/gjhs.v8n10p185,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2016-02-25
10.1080/16549716.2024.2325250,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2024-04-05
10.5539/gjhs.v8n1p107,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2015-05-17
10.5539/gjhs.v8n4p196,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2015-08-19
10.5539/gjhs.v7n4p367,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2015-01-26
10.1080/17441692.2012.699088,green,"1744-1692,1744-1706",Global Public Health,Informa UK Limited,2012-10-01
10.1016/S2214-109X(18)30193-1,gold,2214-109X,The Lancet Global Health,Elsevier BV,2018-05-01
10.3402/gha.v8.28225,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2015-11-16
10.1016/S2214-109X(14)70354-7,gold,2214-109X,The Lancet Global Health,Elsevier BV,2015-02-01
10.3402/gha.v7.23594,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2014-05-02
10.1016/S2214-109X(14)70329-8,gold,2214-109X,The Lancet Global Health,Elsevier BV,2014-12-01
10.1016/S2214-109X(19)30189-5,gold,2214-109X,The Lancet Global Health,Elsevier BV,2019-08-01
10.1016/j.cegh.2021.100902,gold,2213-3984,Clinical Epidemiology and Global Health,Elsevier BV,2021-10-01
10.5539/gjhs.v7n6p1,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2015-03-25
10.5539/gjhs.v5n4p71,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2013-04-06
10.1016/S2214-109X(14)70032-4,gold,2214-109X,The Lancet Global Health,Elsevier BV,2014-05-01
10.1016/S2214-109X(19)30202-5,gold,2214-109X,The Lancet Global Health,Elsevier BV,2019-08-01
10.5539/gjhs.v5n5p131,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2013-06-21
10.5539/gjhs.v8n2p156,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2015-06-12
10.5539/gjhs.v4n4p76,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2012-06-01
10.1016/S2214-109X(13)70067-6,gold,2214-109X,The Lancet Global Health,Elsevier BV,2013-09-01
10.1371/journal.pgph.0001514,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2024-03-20
10.1136/bmjgh-2021-006578,gold,2059-7908,BMJ Global Health,BMJ,2021-08-01
10.1136/bmjgh-2020-004307,gold,2059-7908,BMJ Global Health,BMJ,2021-03-01
10.1016/S2214-109X(15)00060-1,gold,2214-109X,The Lancet Global Health,Elsevier BV,2015-07-01
10.1016/S2214-109X(15)00012-1,gold,2214-109X,The Lancet Global Health,Elsevier BV,2015-09-01
10.5539/gjhs.v6n1p43,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2013-10-12
10.5539/gjhs.v8n7p41,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2015-11-03
10.1080/17441692.2018.1552307,closed,"1744-1692,1744-1706",Global Public Health,Informa UK Limited,2018-11-30
10.1136/bmjgh-2018-001194,gold,2059-7908,BMJ Global Health,BMJ,2018-10-01
10.1016/S2214-109X(19)30504-2,gold,2214-109X,The Lancet Global Health,Elsevier BV,2020-02-01
10.5539/gjhs.v7n6p198,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2015-04-19
10.5539/gjhs.v8n3p168,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2015-07-26
10.5539/gjhs.v6n2p1,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2013-11-10
10.1016/S2214-109X(14)70307-9,gold,2214-109X,The Lancet Global Health,Elsevier BV,2014-11-01
10.5539/gjhs.v8n7p26,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2015-11-03
10.5539/gjhs.v8n7p228,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2015-12-18
10.5539/gjhs.v8n6p179,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2015-11-05
10.1136/bmjgh-2020-003390,gold,2059-7908,BMJ Global Health,BMJ,2020-11-01
10.1016/S2214-109X(18)30373-5,gold,2214-109X,The Lancet Global Health,Elsevier BV,2018-10-01
10.5539/gjhs.v5n1p174,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2012-11-20
10.1136/bmjgh-2018-000825,gold,2059-7908,BMJ Global Health,BMJ,2018-10-01
10.5539/gjhs.v8n8p185,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2015-12-18
10.5539/gjhs.v4n4p27,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2012-05-21
10.1136/bmjgh-2020-002705,gold,2059-7908,BMJ Global Health,BMJ,2020-12-01
10.3402/gha.v6i0.20796,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2013-09-25
10.1016/S2214-109X(18)30477-7,gold,2214-109X,The Lancet Global Health,Elsevier BV,2019-04-01
10.1177/2333794X16669014,gold,"2333-794X,2333-794X",Global Pediatric Health,SAGE Publications,2016-01-01
10.1016/S2214-109X(19)30411-5,gold,2214-109X,The Lancet Global Health,Elsevier BV,2019-11-01
10.5539/gjhs.v5n5p193,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2013-07-22
10.1016/S2214-109X(20)30313-2,gold,2214-109X,The Lancet Global Health,Elsevier BV,2020-10-01
10.5539/gjhs.v6n7p18,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2014-09-18
10.1016/S2214-109X(18)30329-2,gold,2214-109X,The Lancet Global Health,Elsevier BV,2018-09-01
10.5539/gjhs.v4n4p48,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2012-05-23
10.1136/bmjgh-2023-014044,gold,2059-7908,BMJ Global Health,BMJ,2024-02-01
10.5539/gjhs.v8n1p238,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2015-05-21
10.7189/jogh.12.03084,gold,"2047-2978,2047-2986",Journal of Global Health,International Society of Global Health,2022-12-21
10.1016/S2214-109X(18)30244-4,gold,2214-109X,The Lancet Global Health,Elsevier BV,2018-08-01
10.5539/gjhs.v4n5p30,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2012-07-05
10.1016/S2214-109X(14)70201-3,gold,2214-109X,The Lancet Global Health,Elsevier BV,2014-06-01
10.1016/S2214-109X(13)70160-8,gold,2214-109X,The Lancet Global Health,Elsevier BV,2014-03-01
10.1016/S2214-109X(18)30124-4,gold,2214-109X,The Lancet Global Health,Elsevier BV,2018-07-01
10.5539/gjhs.v4n1p22,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2011-12-29
10.1016/S2214-109X(16)30262-5,gold,2214-109X,The Lancet Global Health,Elsevier BV,2016-12-01
10.5539/gjhs.v4n6p17,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2012-08-15
10.5539/gjhs.v5n5p41,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2013-05-24
10.5539/gjhs.v8n4p44,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2015-07-30
10.5539/gjhs.v7n5p143,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2015-02-24
10.5539/gjhs.v4n5p132,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2012-08-09
10.5539/gjhs.v7n6p39,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2015-03-25
10.1016/S2214-109X(15)00299-5,gold,2214-109X,The Lancet Global Health,Elsevier BV,2016-03-01
10.1136/bmjgh-2017-000497,gold,2059-7908,BMJ Global Health,BMJ,2017-09-01
10.5539/gjhs.v7n6p258,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2015-04-19
10.5539/gjhs.v6n6p61,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2014-06-30
10.5539/gjhs.v7n2p328,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2014-12-12
10.7189/jogh.08.020407,gold,"2047-2978,2047-2986",Journal of Global Health,International Global Health Society,2018-07-30
10.1016/S2214-109X(17)30145-6,gold,2214-109X,The Lancet Global Health,Elsevier BV,2017-06-01
10.1016/S2214-109X(21)00339-9,gold,2214-109X,The Lancet Global Health,Elsevier BV,2021-10-01
10.5539/gjhs.v8n4p22,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2015-07-30
10.1080/16549716.2017.1330858,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2017-01-01
10.7189/jogh.07.010411,gold,"2047-2978,2047-2986",Journal of Global Health,International Global Health Society,2017-04-23
10.5539/gjhs.v5n3p188,green,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2013-03-20
10.5539/gjhs.v7n2p80,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2014-09-28
10.5539/gjhs.v8n3p26,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2015-06-25
10.1017/gmh.2019.18,gold,2054-4251,Global Mental Health,Cambridge University Press (CUP),2019-01-01
