"","article","is_open_data","open_data_category","is_reuse","is_open_code","das","open_data_statements","cas","open_code_statements"
"94","10.5539/gjhs.v5n1p150",FALSE,"",FALSE,FALSE,"","","",""
"95","10.5539/gjhs.v5n2p13",FALSE,"",FALSE,FALSE,"","","",""
"96","10.5539/gjhs.v5n3p69",FALSE,"",FALSE,FALSE,"","","",""
"97","10.5539/gjhs.v5n4p217",FALSE,"",FALSE,FALSE,"","","",""
"98","10.5539/gjhs.v6n1p207",FALSE,"",FALSE,FALSE,"","","",""
"99","10.5539/gjhs.v6n2p196",FALSE,"",FALSE,FALSE,"","","",""
"100","10.5539/gjhs.v6n4p292",FALSE,"",FALSE,FALSE,"","","",""
"101","10.5539/gjhs.v6n6p144",FALSE,"",FALSE,FALSE,"","","",""
"102","10.5539/gjhs.v6n6p209",FALSE,"",FALSE,FALSE,"","","",""
"103","10.5539/gjhs.v6n6p281",FALSE,"",FALSE,FALSE,"","","",""
"104","10.5539/gjhs.v6n7p103",FALSE,"",FALSE,FALSE,"","","",""
"105","10.5539/gjhs.v6n7p144",FALSE,"",FALSE,FALSE,"","","",""
"106","10.5539/gjhs.v6n7p44",FALSE,"",FALSE,FALSE,"","","",""
"107","10.5539/gjhs.v7n1p115",FALSE,"",FALSE,FALSE,"","","",""
"108","10.5539/gjhs.v7n1p203",FALSE,"",FALSE,FALSE,"","","",""
"109","10.5539/gjhs.v7n1p235",FALSE,"",FALSE,FALSE,"","","",""
"110","10.5539/gjhs.v7n3p161",FALSE,"",FALSE,FALSE,"","","",""
"111","10.5539/gjhs.v7n4p243",FALSE,"",FALSE,FALSE,"","","",""
"112","10.5539/gjhs.v7n4p375",FALSE,"",FALSE,FALSE,"","","",""
"113","10.5539/gjhs.v7n4p40",FALSE,"",FALSE,FALSE,"","","",""
"114","10.5539/gjhs.v7n5p359",FALSE,"",FALSE,FALSE,"","","",""
"115","10.5539/gjhs.v7n6p108",FALSE,"",FALSE,FALSE,"","","",""
"116","10.5539/gjhs.v7n6p129",FALSE,"",FALSE,FALSE,"","","",""
"117","10.5539/gjhs.v8n2p230",FALSE,"",FALSE,FALSE,"","","",""
"118","10.7189/jogh.09.010431",FALSE,"upon request",FALSE,FALSE,"","","",""
"119","10.7189/jogh.11.04063",FALSE,"upon request, unknown/misspecified source",FALSE,FALSE,"<section> data sharing statement: individual-level participant data that underlie the results reported in this article cal analysis plan and analytic code will also be made 5 years following article publication to researchers the approved proposal. proposals should be directed will need to sign a data access agreement.","available: https://data.worldbank.org/ may 2020. ethiopia data.;     available: https://data.worldbank.org/indicator/ www.dhsprogram.com.;     available: https://data.worldbank.org/indicator/","",""
"120","10.7189/jogh.11.04064",FALSE,"upon request",FALSE,FALSE,"<section> availability of data and materials data has been collected and stored on the gorilla platform. the study investigators own and have complete control of the research data which can be accessed at any time. for statistical analysis the data was downloaded and is safely stored on a computing system maintained by the heildelberg university.","","",""
"121","10.7189/jogh.12.04042",FALSE,"re-use, upon request, unknown/misspecified source",TRUE,FALSE,"","<section> after applying eligibility criteria eight health facility old mutare mission hospital sadziwa clinic ra’s mission hospital triashill mission hospital the intervention arm and four to the control cluster or individual level in either intervention progressively rolled out from july to september in addition to the prespecified analysis of women’s mean adjusted for age education and number of pregnancies (for anova model was used to calculate intracluster analysis participants with any missing data for variables of inresearch council of zimbabwe (mrcz/a/2006) and alfred restudy protocol is available online (https://www.burnet.edu. catchment areas (clusters) were identified: mt jenya clinic sherukuru rural health centre st augustine’s clinic st barbaand zongoro clinic. <section> after applying eligibility criteria eight health facility old mutare mission hospital sadziwa clinic ra’s mission hospital triashill mission hospital the intervention arm and four to the control cluster or individual level in either intervention progressively rolled out from july to september in addition to the prespecified analysis of women’s mean adjusted for age education and number of pregnancies (for anova model was used to calculate intracluster analysis participants with any missing data for variables of inresearch council of zimbabwe (mrcz/a/2006) and alfred restudy protocol is available online (https://www.burnet.edu. catchment areas (clusters) were identified: mt jenya clinic sherukuru rural health centre st augustine’s clinic st barbaand zongoro clinic.","",""
"122","10.7189/jogh.12.04053",FALSE,"upon request",FALSE,FALSE,"","","",""
"123","10.7189/jogh.12.04073",FALSE,"upon request",FALSE,FALSE,"","","",""
"124","10.7189/jogh.12.04102",FALSE,"upon request",FALSE,FALSE,"<section> data availability: all the individual-participant data able on open science framework via (https://osf.io/gk6a9/? view_only=e0947cddeb344b3e8050dee0237e4650). will be available for five years following the publication been reviewed by an independent review committee proposals. proposals should be directed to the corresponding to gain access to the data.","","",""
"125","10.7189/jogh.13.04017",FALSE,"upon request, unknown/misspecified source",FALSE,FALSE,"<section> data availability: please contact the authors directly to reach the data and materials.","available: https://data.stats.gov.cn/easyquery.htm?;     available: http:// data.","",""
"126","10.7189/jogh.13.04022",FALSE,"upon request, unknown/misspecified source",FALSE,FALSE,"<section> data availability: deidentified participant data and the data dictionary that underlie the results presented in this study will be made available upon a formal request and approval from the data management committee national center for child health and development. the study protocol is already available in the public domain for free access (https://doi. org/10.1186/s13063-020-04664-w).","available: https://data.worldbank.org/country/ao.","",""
"127","10.7189/jogh.13.04133",FALSE,"upon request",FALSE,FALSE,"<section> data availability: the data of the studies is accessible via peking university school of public health.","","",""
