"","nct_id","last_update_submitted_date","registration_date","summary_results_date","study_type","phase","enrollment","recruitment_status","official_title","title","start_date","completion_date","primary_completion_date","has_summary_results","allocation","masking","main_sponsor","is_multicentric","facility_affiliation","city","country","region"
"56","NCT01924286",2018-01-18,2013-08-12,NA,"Interventional","Phase 3",240,"Completed","Preventing Tuberculosis-associated Immune Reconstitution Inflammatory Syndrome in High-risk Patients: a Randomized Placebo-controlled Trial of Prednisone","Preventing TB-IRIS in High-risk Patients: a Randomized Placebo-controlled Trial of Prednisone",2013-08-30,2017-04-01,2016-04-01,FALSE,"Randomized","Quadruple","OTHER",FALSE,"Site B Khayelitsha HIV/TB clinic","Cape Town","South Africa","LMIC"
"57","NCT02946762",2019-03-11,2016-09-14,NA,"Interventional","Not Applicable",419,"Completed","Z 31501 - Treatment as Prevention (TasP) in Correctional Facilities in Zambia and South Africa","TasP in Correctional Facilities",2016-02-01,2018-03-31,2018-03-31,FALSE,NA,"None (Open Label)","OTHER",FALSE,"Lusaka Central Corrections ART Clinic","Lusaka","Zambia","LMIC"
"58","NCT01159886",2010-07-09,2010-07-09,NA,"Interventional","Not Applicable",216,"Unknown status","Patient-posture and Ileal-intubation During Colonoscopy (PIC): a Randomized Controlled Open-label Trial","Patient-posture and Ileal-intubation During Colonoscopy",2010-06-01,2011-03-01,2011-01-01,FALSE,"Randomized","None (Open Label)","OTHER",FALSE,"School of Digestive and Liver Diseases (SDLD), IPGME & R, Kolkata","Kolkata","India","LMIC"
"59","NCT01053598",2013-02-16,2010-01-19,NA,"Observational",NA,600,"Completed","EVALUATION OF THE PERFORMANCE OF THE NITRATE REDUCTASE AND RESAZURIN TITRE ASSAY FOR THE DETECTION OF MYCOBACTERIUM TUBERCULOSIS COMPLEX FROM SPUTUM IN A HIGH TB AND HIV SETTING","Evaluation Of The Performance Of The Nitrate Reductase And Resazurin Titre Assay For The Detection of Mycobacterium Tuberculosis Complex From Sputum In A High Tb and Hiv Setting",2011-09-01,2012-12-01,2012-09-01,FALSE,NA,NA,"OTHER",FALSE,"Epicentre","Mbarara","Uganda","LMIC"
"60","NCT02768909",2016-05-09,2016-04-11,NA,"Interventional","Not Applicable",250,"Unknown status","Diagnostic Trial to Validate the Use of the E-Nose in Pulmonary TB","Diagnostic Trial to Validate the Use of the E-Nose in Pulmonary TB",2015-01-01,2017-02-01,2016-12-01,FALSE,"Non-Randomized","None (Open Label)","OTHER",FALSE,"Instituto de Biomedicina","Caracas","Venezuela","LMIC"
"61","NCT04150224",2020-02-13,2019-10-18,2020-01-24,"Interventional","Phase 1",60,"Completed","An Open-label, Prospective Study of Safety, Tolerability, Pharmacokinetics and Food Effects of PBTZ169, 80 mg Capsules, When Used in Ascending Doses in Healthy Volunteers","Safety, Tolerability, Pharmacokinetics and Food Effects Study of PBTZ169",2018-07-03,2019-02-01,2018-11-23,TRUE,"Randomized","None (Open Label)","INDUSTRY",FALSE,"Clinical hospital at the Yaroslavl station of the Open Joint Stock Company Russian Railways","Yaroslavl","Russian Federation","LMIC"
"62","NCT02536768",2019-07-29,2015-08-26,NA,"Interventional","Not Applicable",8020,"Completed","Evaluation of the National Department of Health's National Adherence Guidelines for Chronic Diseases in South Africa Using Routinely Collected Data","Evaluation of South Africa's National Adherence Strategy",2015-09-01,2018-04-30,2018-04-30,FALSE,"Randomized","None (Open Label)","OTHER",FALSE,"Johannesburg Site","Johannesburg","South Africa","LMIC"
"63","NCT00600782",2020-10-02,2008-01-15,NA,"Interventional","Phase 2",45,"Completed","Immunogenicity and Safety of GSK Biologicals' Candidate Tuberculosis (TB) Vaccine (692342) When Administered to Healthy Adults Aged 21 to 40 Years.","Immunogenicity and Safety of a Candidate Tuberculosis (TB) Vaccine Given to Healthy Adults in a TB-endemic Region",2008-02-05,2008-12-19,2008-12-19,FALSE,"Non-Randomized","None (Open Label)","INDUSTRY",FALSE,"GSK Investigational Site","Worcester","South Africa","LMIC"
"64","NCT02496572",2015-07-09,2014-07-02,NA,"Observational",NA,110,"Unknown status","Effectiveness of a Simplified Short Regimen for Multidrug Resistant Tuberculosis Treatment in Karakalpakstan, Uzbekistan","Effectiveness of a Simplified Short Regimen for Multidrug Resistant Tuberculosis in Uzbekistan",2013-09-01,2016-04-01,2016-03-01,FALSE,NA,NA,"OTHER",FALSE,"Outpatient clinics in three districts","Nukus","Uzbekistan","LMIC"
"65","NCT02533089",2020-03-23,2015-08-20,2020-03-10,"Interventional","Not Applicable",1153,"Completed","Training Lay Healthcare Workers to Optimize TB Care and Improve Outcomes in Malawi","Training Lay Healthcare Workers to Optimize TB Care and Improve Outcomes in Malawi",2016-05-01,2018-02-01,2018-02-01,TRUE,"Randomized",NA,"OTHER",FALSE,"4 Districts, SE zone of Malawi (Balaka, Machinga, Mangochi, Mulanje)","Malawi","Malawi","LMIC"
"66","NCT02457208",2018-10-01,2015-04-22,NA,"Interventional","Phase 1",61,"Completed","Studying the Blood Levels of First-line Anti-tuberculosis Drugs in Relation to Treatment Outcomes Among Newly Diagnosed Adults With Pulmonary Tuberculosis on the Thai-Myanmar Border","PK Study of Anti-TB Drugs",2015-07-07,2018-01-14,2018-01-14,FALSE,NA,"None (Open Label)","OTHER",FALSE,"Shoklo Malaria Research Unit","Mae Sot","Thailand","LMIC"
"67","NCT01371916",2014-08-18,2011-06-08,NA,"Observational",NA,316,"Completed","Diagnosis of Tuberculous Meningitis by a Secretory Antigenic Target 6 (ESAT-6) in CSF","Diagnosis of Tuberculous Meningitis by ESAT-6 in CSF",2010-09-01,2014-01-01,2013-11-01,FALSE,NA,NA,"OTHER",FALSE,"Xijing Hospital","Xi'an","China","LMIC"
"68","NCT00925249",2009-12-11,2009-05-13,NA,"Observational",NA,90,"Unknown status","Comparison of the Tuberculin Skin Test (TST) and QuantiFERON ®-TB Gold Test (QFT-G) In Patients With Rheumatoid Arthritis Being Considered for Anti-TNF-Alpha Therapy","Comparison of the Tuberculin Skin Test (TST) and QuantiFERON ®-TB Gold Test (QFT-G) In Patients With Rheumatoid Arthritis Being Considered for Anti-TNF-Alpha Therapy",2009-05-01,2011-06-01,2011-05-01,FALSE,NA,NA,"FED",FALSE,"Walter Reed Army Medical Center","Washington","United States","HIC"
"69","NCT01830439",2019-09-04,2013-02-12,NA,"Interventional","Phase 1",32,"Completed","A Phase 1, Randomized, Balanced, Single-Dose, Two-Period, Two-Sequence, Crossover, Open-Label Study of the Effect of Food on the Bioavailability and Pharmacokinetics of PA-824 Tablets in Healthy Adult Subjects","Food Effect Study on the Bioavailability and PK of PA-824 Tablets in Healthy Adult Subjects (CL-009)",2009-09-01,2010-01-01,2010-01-01,FALSE,"Randomized","None (Open Label)","OTHER",FALSE,"MDS Pharma Services (Celerion)","Lincoln","United States","HIC"
"70","NCT00948077",2011-04-11,2009-06-16,NA,"Interventional","Not Applicable",16,"Unknown status","A Single-Center, Open-Label, Randomized, Crossover Design Study to Evaluate the Effect of Dietary Status on Pharmacokinetic Profile of Orally Administered First-Line Anti-TB Drugs in Subjects With Pulmonary Tuberculosis","Pharmacokinetic Study for Anti-tuberculosis Drugs",2009-07-01,2011-12-01,2011-06-01,FALSE,"Randomized","None (Open Label)","OTHER",FALSE,"Taipei Medical University- Wan Fang Hospital","Taipei","Taiwan","HIC"
"71","NCT01038830",2010-06-11,2009-12-23,NA,"Observational",NA,50,"Completed","The Change in Level of Interferon-gamma Assay in Active Tuberculosis Patients During Treatment","QuantiFERON Change During Anti-tuberculosis Medication",2008-05-01,2010-05-01,2010-04-01,FALSE,NA,NA,"OTHER_GOV",FALSE,"Armed Forces Capital Hospital","Seongnam","Korea, Republic of","HIC"
"72","NCT02387242",2017-04-12,2015-02-24,NA,"Interventional","Phase 1",18,"Suspended","Evaluating Pharmacokinetics and Whole Blood Bactericidal Activity Against Mycobacterium Tuberculosis of Single 'High' Doses of Rifampicin in Healthy Volunteers","Whole Blood Bactericidal Activity (WBA) Against Mycobacterium Tuberculosis of Rifampicin in Healthy Volunteers",2015-02-01,2017-12-01,2017-12-01,FALSE,"Randomized","None (Open Label)","OTHER",FALSE,"National University Hospital","Singapore","Singapore","HIC"
"73","NCT01002170",2010-11-01,2009-07-13,NA,"Observational",NA,30,"Completed","The Impact Factor Analysis of the Therapeutic Drug Monitoring of Oral 2nd Line Antituberculosis Agent, Cycloserine","Pharmacokinetic Study of Patients Who Undergo Cycloserine, a 2nd-line Antituberculosis Medicament",2009-05-01,2010-05-01,2009-06-01,FALSE,NA,NA,"OTHER",FALSE,"Taipei Medical University-Wan Fang Hospital","Taipei","Taiwan","HIC"
"74","NCT03312647",2017-10-12,2017-06-18,NA,"Observational",NA,1000,"Unknown status","Adverse Drug Reactions to Antituberculosis Drugs in the Treatment of Latent Tuberculosis Infection in Korean Health Care Workers","Adverse Drug Reactions to Anti-TB Drugs in the Treatment of Latent Tuberculosis Infection",2017-06-19,2018-05-01,2018-05-01,FALSE,NA,NA,"OTHER",FALSE,"Sang-Heon Kim","Seoul","Korea, Republic of","HIC"
"75","NCT02687529",2019-06-05,2016-02-16,2018-09-18,"Observational",NA,66,"Completed","Evaluation of the 4th Generation QuantiFERON-TB Test (QFT-Plus) for the Detection of Tuberculosis Infection","Evaluation of the 4th Generation QuantiFERON-TB Test (QFT-Plus) for the Detection of Tuberculosis Infection",2015-10-27,2016-05-26,2015-11-07,TRUE,NA,NA,"INDUSTRY",FALSE,"VA Palo Alto Health Care System (VAPAHCS)","Palo Alto","United States","HIC"
"76","NCT02331056",2016-10-06,2014-12-15,NA,"Observational",NA,79,"Completed","Could the Stroke Volume Variation Predict a Fluid Responsiveness in Thoracotomy?","Could the Stroke Volume Variation Predict a Fluid Responsiveness in Thoracotomy?",2014-07-01,2015-06-01,2015-06-01,FALSE,NA,NA,"OTHER",FALSE,"Samsung medical center","Seoul","Korea, Republic of","HIC"
"77","NCT01376843",2013-03-04,2011-06-16,NA,"Observational",NA,53,"Completed","Conversion Rate of TST and Quantiferon-TB Gold In Tube Assay in Health Care Workers","Conversion Rate of (TST) Tuberculin Skin Test and Quantiferon-TB Gold In Tube Assay in Health Care Workers",2011-06-01,2012-05-01,2012-05-01,FALSE,NA,NA,"OTHER",FALSE,"Severance Hospital","Seoul","Korea, Republic of","HIC"
"78","NCT01436929",2012-12-13,2011-09-16,NA,"Interventional","Not Applicable",600,"Unknown status","Effect of Prophylactic Use of Silymarin on Hepatotoxicity Induced by Anti-tuberculosis Drugs","Effect of Prophylactic Use of Silymarin on Hepatotoxicity Induced by Anti-tuberculosis Drugs",2011-09-01,2013-12-01,2013-10-01,FALSE,"Randomized","Quadruple","OTHER",FALSE,"Deog Kyeom Kim","Seoul","Korea, Republic of","HIC"
"79","NCT02690818",2019-04-22,2016-01-05,NA,"Interventional","Not Applicable",30,"Completed","Promoting Adherence to Treatment for Latent TB Infection Through Mobile Phone Text Messaging","Promoting Adherence to Treatment for Latent TB Infection Through Text Messaging",2016-04-01,2018-09-26,2018-09-26,FALSE,"Randomized","Single","OTHER",FALSE,"Pima County Health Department","Tucson","United States","HIC"
"80","NCT01674218",2014-11-13,2012-08-23,NA,"Interventional","Phase 1",74,"Completed","Phase I, Double-Blind, Randomized, Single-Center, Five-Period Crossover Study to Assess the Effects of Single Oral Doses of 400 mg and 1000 mg of PA-824 and 400 mg of PA-824 Plus 400 mg of Moxifloxacin on QTc Interval Compared to Placebo, Using AVELOX™ (Moxifloxacin) as a Positive Control, in Healthy Male and Female Volunteers Aged 18 to 45 Years","Effect of PA-824 and of PA-824 Plus Moxifloxacin on the QTc Interval in Healthy Volunteers",2012-09-01,2012-12-01,2012-12-01,FALSE,"Randomized","Triple","NIH",FALSE,"Quintiles Phase I Services - Overland Park","Overland Park","United States","HIC"
"81","NCT01730664",2017-08-24,2012-11-09,NA,"Interventional","Phase 2",12,"Completed","Pharmacokinetics and Pharmacodynamics of Ertapenem in Patients With Tuberculosis","PK/PD of Ertapenem In Patients With TB",2017-01-26,2017-07-13,2017-07-13,FALSE,NA,"None (Open Label)","OTHER",FALSE,"UMCG - Tuberculosis Center","Groningen","Netherlands","HIC"
"82","NCT01214993",2012-06-07,2010-10-01,NA,"Interventional","Phase 1",38,"Completed","A Phase 1, Open Label, Placebo-Controlled Study to Evaluate the Effect of GSK1349572 on Iohexol and Para-Aminohippurate Clearance in Healthy Subjects","A Phase 1, Open Label, Placebo-Controlled Study to Evaluate the Effect of GSK1349572 on Iohexol and Para-Aminohippurate Clearance in Healthy Subjects",2010-10-01,2010-11-01,2010-11-01,FALSE,"Randomized","None (Open Label)","INDUSTRY",FALSE,"GSK Investigational Site","Minneapolis","United States","HIC"
"83","NCT01601275",2019-05-14,2012-05-15,NA,"Observational",NA,4600,"Completed","Prospective Database of All Patients With Microbiologically Proven Mycobacteria Tuberculosis Infection Treated at Singapore General Hospital","Database of All Patients With Microbiologically Proven Mycobacteria Tuberculosis Infection",2012-05-01,2018-05-01,2018-05-01,FALSE,NA,NA,"OTHER",FALSE,"Singapore General Hospital","Singapore","Singapore","HIC"
"84","NCT02253537",2019-06-05,2014-09-29,2018-09-18,"Observational",NA,15,"Completed","Evaluation of the 4th Generation QuantiFERON-TB Test (CST001) for the Detection of Tuberculosis Infection","Evaluation of the QuantiFERON-TB Test.",2015-02-02,2016-04-26,2016-04-26,TRUE,NA,NA,"INDUSTRY",FALSE,"University of Washington","Seattle","United States","HIC"
"85","NCT02076139",2018-10-30,2014-02-20,NA,"Interventional","Not Applicable",47,"Completed","Pilot Clinical Trial, Double-blind, Randomized, Placebo Controlled and Masked to Evaluate the Tolerability and Immunogenicity of Nyaditum Resae® Probiotic Administered to Adults With or Without Latent Tuberculosis Infection","Safety and Immunogenicity of Nyaditum Resae® Probiotic to Protect From Tuberculosis",2014-03-01,2015-07-01,2014-06-01,FALSE,"Randomized","Triple","INDUSTRY",FALSE,"Germans Trias I Pujol Hospital","Badalona","Spain","HIC"
"86","NCT02961569",2017-04-26,2016-10-18,NA,"Interventional","Not Applicable",34,"Completed","Comparative Study Between the Classical Strategy and a Faster, Daily Collection for the Diagnosis of Contagious Pulmonary Tuberculosis","Comparison Between Two Strategies for the Diagnosis of TB",2016-07-01,2017-04-01,2017-04-01,FALSE,NA,"None (Open Label)","OTHER",FALSE,"Hôpital Lariboisière","Paris","France","HIC"
"87","NCT02782494",2016-12-13,2016-05-11,NA,"Observational",NA,200,"Unknown status","Comparing Consistency of QuantiFERON-TB Gold Plus and QuantiFERON-TB Gold for Latent Tuberculosis in Dialysis Population","Comparing Consistency of QuantiFERON-TB Gold Plus and QuantiFERON-TB Gold for Latent Tuberculosis in Dialysis Population",2016-05-01,2018-05-01,2018-05-01,FALSE,NA,NA,"OTHER",FALSE,"National Taiwan University Hospital","Taipei","Taiwan","HIC"
"88","NCT01611844",2013-07-30,2011-12-22,NA,"Interventional","Not Applicable",59,"Completed","Optimization of Tuberculosis Intradermal Skin Test: TB Dermatest WP 3.1","Optimization of Tuberculosis Intradermal Skin Test",2011-09-01,2013-04-01,2012-06-01,FALSE,"Randomized","Double","OTHER",FALSE,"Unité de Recherche Clinique en Immunologie Lyon Sud (URCI-LS) et Service d'Immunologie clinique et allergologie-Centre Hospitalier Lyon Sud -Hospices Civils de Lyon","Pierre-Bénite","France","HIC"
"89","NCT01724723",2012-11-07,2012-05-02,NA,"Interventional","Phase 4",50,"Unknown status","Prophylactic Use of Entecavir to Reduce Hepatitis Flare in Highly Viremic HBV Patients With Active Tuberculosis Receiving Anti-tuberculous Treatment","Using Entecavir to Reduce Hepatitis in Highly Viremic HBV Patients During Anti-tuberculous Treatment",2012-12-01,2014-06-01,2014-06-01,FALSE,"Randomized","None (Open Label)","OTHER",FALSE,"National Taiwan University Hospital","Taipei","Taiwan","HIC"
"90","NCT01165840",2016-06-09,2010-07-16,2015-10-28,"Interventional","Phase 4",37,"Completed","Population Pharmacokinetic Analysis of Dapsone in Normal, Overweight and Obese Volunteers","Effect of Weight and/or Obesity on Dapsone Drug Concentrations",2010-07-01,2012-05-01,2012-05-01,TRUE,NA,"None (Open Label)","OTHER",FALSE,"University of Texas Southwestern","Dallas","United States","HIC"
"91","NCT00871949",2013-08-26,2009-03-27,NA,"Interventional","Phase 1",19,"Completed","A Phase 1 Study To Evaluate The Safety, Tolerability, And Pharmacokinetics Of PNU-100480 (PF-02341272) After First Time Administration Of Ascending Oral Doses To Healthy Adult Subjects Under Fed And Fasted Conditions","Safety, Tolerability And Pharmacokinetics Study Of Single Doses Of PNU-100480 In Healthy Adults",2009-04-01,2009-08-01,2009-08-01,FALSE,"Randomized","Double","INDUSTRY",FALSE,"Pfizer Investigational Site","New Haven","United States","HIC"
"92","NCT01358162",2013-05-10,2010-11-18,NA,"Interventional","Phase 1",10,"Completed","A Phase 1C, Randomized, Placebo-Controlled, Double-Blinded Study to Evaluate the Safety, Tolerability and Pharmacokinetics of 300 mg of SQ109 Given Once Daily for 14 Days in Normal, Healthy Male and Female Volunteers","Phase IC Study of Safety and PK of SQ109 300mg Daily",2010-11-01,2011-04-01,2011-02-01,FALSE,"Randomized","Triple","NIH",FALSE,"Quintiles Phase I Services - Overland Park","Overland Park","United States","HIC"
"93","NCT02782416",2016-12-13,2016-05-11,NA,"Interventional","Not Applicable",800,"Unknown status","A Randomized Study for Screening Latent Tuberculosis Infection and Observing Preventive Therapy in Patients Preparing for Kidney Transplantation","Screening Latent Tuberculosis Infection and Observing Preventive Therapy in Kidney Transplantation",2014-01-01,2017-12-01,2017-12-01,FALSE,"Randomized","None (Open Label)","OTHER",FALSE,"National Taiwan University Hospital","Taipei","Taiwan","HIC"
"94","NCT01242475",2013-01-18,2010-11-16,NA,"Interventional","Phase 2",151,"Completed","A Phase IIa Specificity Trial of the Diagnostic Agent C-Tb, When Given Intradermally by the Mantoux Technique to Healthy Volunteers Previously Vaccinated With BCG","A Trial of the C-Tb Skin Test, When Given Intradermally to Healthy Volunteers Previously Vaccinated With BCG",2011-04-01,2011-11-01,2011-11-01,FALSE,"Randomized","Quadruple","OTHER",FALSE,"Surrey Clinical Research Centre, University of Surrey","Surrey","United Kingdom","HIC"
"95","NCT03665402",2020-02-26,2018-08-21,NA,"Interventional","Not Applicable",16,"Completed","Clinical Trial to Investigate the Appropriate Dose of Isoniazid According to NAT2 Polymorphism Status in Korean Subjects","A Pharamcogenomic Study for Isoniazid According to NAT2 Polymorphism Status",2018-05-13,2019-03-31,2018-12-31,FALSE,"Randomized","None (Open Label)","OTHER",FALSE,"Seoul National University Hospital Clinical Trials Center","Seoul","Korea, Republic of","HIC"
"96","NCT02216331",2019-09-04,2014-08-12,NA,"Interventional","Phase 1",32,"Completed","A Phase I Open-label Trial to Investigate the Pharmacokinetic Interaction Between Rifapentine or Rifampicin and a Single Dose of TMC207 in Healthy Subjects","PK Interaction Between Rifapentine or Rifampicin and a Single Dose of TMC207 in Healthy Subjects (TMC207-CL002)",2010-03-01,2010-05-01,2010-05-01,FALSE,"Randomized","None (Open Label)","OTHER",FALSE,"Celerion (MDS Pharma Services)","Lincoln","United States","HIC"
"97","NCT03423030",2018-07-12,2018-01-24,NA,"Interventional","Phase 1",32,"Completed","Safety, Tolerability, Pharmacokinetic Profile and Ex-vivo Antitubercular Activity of PBTZ169 Formulated as Spray- Dried Dispersion Versus Native Crystal Powder: Single Ascending Doses, Randomized, Placebo- Controlled, Cross-over Phase Ia Trial in Healthy Volunteers","Study to Evaluate the Safety, Tolerability, Pharmacokinetics and Ex-vivo Antitubercular Activity of PBTZ169 Formulation",2017-12-05,2018-03-28,2018-03-28,FALSE,"Randomized","Triple","OTHER",FALSE,"Division of Clinical Pharmacology, Centre Hospitalier Universitaire Vaudois (CHUV)","Lausanne","Switzerland","HIC"
"98","NCT02454738",2016-06-06,2015-05-22,NA,"Interventional","Not Applicable",6,"Completed","Ultralow Dose Computed Tomography in Close Contacts at High Risk for Developing Multidrug- or Extensively Drug-resistant Tuberculosis: A Pilot Study","Ultralow Dose Computed Tomography in High-risk Drug-resistant Tuberculosis Contacts",2015-06-01,2016-06-01,2016-06-01,FALSE,NA,"None (Open Label)","OTHER",FALSE,"Seoul National University Hospital","Seoul","Korea, Republic of","HIC"
"99","NCT02013245",2017-02-06,2013-12-03,2016-03-15,"Interventional","Phase 1",36,"Completed","Phase I Double Blind, Randomized, Controlled, Dose-Escalation Study to Evaluate the Safety and Immunogenicity of MTBVAC in Comparison With BCG in Elispot TB(ESAT-6, CFP10, PPD)- and HIV- Negative Volunteers","Dose-Escalation Study to Evaluate the Safety and Immunogenicity of MTBVAC Vaccine in Comparison With BCG Vaccine.",2013-01-01,2014-11-01,2014-06-01,TRUE,"Randomized","Quadruple","INDUSTRY",FALSE,"Centre Hospitalier Universitaire Vaudois","Lausanne","Switzerland","HIC"
"100","NCT03149848",2020-08-27,2017-05-09,2018-09-04,"Interventional","Phase 1",15,"Completed","Phase I, Single-center, Open Label, Fixed-sequence Cross-over Study to Evaluate the Effect of Rifabutin on the Pharmacokinetics of Oral Cabotegravir in Healthy Subjects","Effect of Rifabutin on the Pharmacokinetics of Oral Cabotegravir in Healthy Subjects",2017-06-06,2017-09-07,2017-09-06,TRUE,"Randomized","None (Open Label)","INDUSTRY",FALSE,"GSK Investigational Site","Cambridge","United Kingdom","HIC"
