"nct_id","registration_date","summary_results_date","study_type","phase","enrollment","recruitment_status","official_title","title","start_date","completion_date","primary_completion_date","has_summary_results","allocation","masking","main_sponsor","is_multicentric","category","country","region","trial_type","final match","final any paper","final publication found","final PMID","DOI (format: e.g 10.1000/182)","URL  (if not avaiable DOI or PMID )","publication_date","has_publication","days_cd_to_publication","days_pcd_to_publication","days_cd_to_summary","days_pcd_to_summary","days_reg_to_start","days_reg_to_cd","days_reg_to_pcd","days_reg_to_publication","completion_year","primary_completion_year"
"NCT02959125","2016-08-27",NA,"Interventional","Not Applicable",72,"Unknown status","NutFish and Nutrient Supplementation in Pregnancy Class to Improve Maternal and Birth Outcomes","NutFish and Nutrient Supplementation in Pregnancy Class to Improve Maternal and Birth Outcomes","2016-12-12","2017-12-20","2017-10-30",FALSE,"Randomized","None (Open Label)","OTHER",TRUE,"Multicentric Local","Indonesia","LMIC","maternal health","TRUE ","no paper","",NA,"","",NA,FALSE,NA,NA,NA,NA,107,480,429,NA,"2017","2017"
"NCT01977326","2013-10-24",NA,"Interventional","Not Applicable",4205,"Completed","The Effectiveness and Cost-effectiveness of a Task Sharing Counseling Intervention by Community Health Workers for Prenatal Depression in South Africa","Task Sharing Counseling Intervention by Community Health Workers for Prenatal Depression in South Africa","2013-10-01","2016-06-01","2016-06-01",FALSE,"Randomized","Single","OTHER",TRUE,"Multicentric Local","South Africa","LMIC","maternal health","FALSE","article","linked in registry",31733813,"10.1016/j.brat.2019.103466","https://www.sciencedirect.com/science/article/pii/S0005796719301524?via%3Dihub",2019-10-31,TRUE,1247,1247,NA,NA,-23,951,951,2198,"2016","2016"
"NCT02652819","2015-12-31",NA,"Interventional","Phase 3",154,"Completed","A Phase 3, Randomized, Double-Blind, Placebo-Controlled Study of Efficacy and Safety of FG-4592 for Treatment of Anemia in Subjects With Chronic Kidney Disease Not on Dialysis","FG-4592 for Treatment of Anemia in Subjects With Chronic Kidney Disease Not on Dialysis","2015-12-01","2017-06-13","2017-01-24",FALSE,"Randomized","Quadruple","INDUSTRY",TRUE,"Multicentric Local","China","LMIC","maternal health","TRUE ","article","linked in registry",31340089,"10.1056/nejmoa1813599","https://pubmed.ncbi.nlm.nih.gov/31340089/",2019-07-24,TRUE,771,911,NA,NA,-30,530,390,1301,"2017","2017"
"NCT03392298","2018-01-02",NA,"Interventional","Phase 4",70,"Unknown status","Investigation of Signal Pathway Induced by Colla Corri Asini Regulating Globin Level in Beta Thalassemia Patients With Pregnancy Anemia","Study on the Mechanism of Colla Corri Asini in the Treatment of Thalassemia Patients With Pregnancy Anemia","2017-12-01","2019-02-28","2018-12-31",FALSE,"Randomized","Single","OTHER",FALSE,"Monocentric","China","LMIC","maternal health","FALSE","article","google search / PI + intervention",31098739,"10.1007/s00277/019/03710/1","https://link.springer.com/article/10.1007/s00277/019/03710/1",2019-05-16,TRUE,77,136,NA,NA,-32,422,363,499,"2019","2018"
"NCT01119612","2010-04-30",NA,"Interventional","Not Applicable",1500,"Completed","Prenatal Iron Supplements: Safety and Efficacy in Tanzania","Prenatal Iron Supplements: Safety and Efficacy in Tanzania","2010-09-01","2013-05-01","2013-03-01",FALSE,"Randomized","Quadruple","OTHER",FALSE,"Monocentric","Tanzania","LMIC","maternal health","TRUE ","article","linked in registry",26280534,"10.1001/jamapediatrics.2015.1480","https://jamanetwork.com/journals/jamapediatrics/fullarticle/2427520",2015-08-17,TRUE,838,899,NA,NA,124,1097,1036,1935,"2013","2013"
"NCT01478620","2011-11-21","2014-08-27","Interventional","Phase 3",125,"Completed","An Open-label, Non-randomized, Multicenter, Interventional Study to Investigate the Safety and Efficacy of Canephron® N in the Management of Uncomplicated Urinary Tract Infections (uUTI)","Safety and Efficacy of Canephron® N in the Management of Uncomplicated Urinary Tract Infections (uUTI)","2011-10-01","2012-08-01","2012-05-01",TRUE,NA,"None (Open Label)","INDUSTRY",FALSE,"Monocentric","Ukraine","LMIC","maternal health","TRUE ","article","google search / trial number",NA,"10.1186/s40816/015/0008/x","https://clinphytoscience.springeropen.com/articles/10.1186/s40816/015/0008/x",2015-09-22,TRUE,1147,1239,756,848,-51,254,162,1401,"2012","2012"
"NCT02304770","2014-11-23",NA,"Interventional","Phase 2",73,"Completed","A Pilot Study of Aminolaevulinic Acid (ALA) Photodynamic Therapy (PDT) in Patients With Cervical Persistent High Risk HPV Infection or Cervical Intraepithelial Neoplasia","Aminolaevulinic Acid Photodynamic Therapy of Cervical Persistent HPV Infection and Cervical Neoplasia","2015-01-01","2017-01-01","2017-01-01",FALSE,"Non-Randomized","None (Open Label)","INDUSTRY",TRUE,"Multicentric Local","China","LMIC","maternal health","TRUE ","no paper","",NA,"","",NA,FALSE,NA,NA,NA,NA,39,770,770,NA,"2017","2017"
"NCT01309516","2011-01-22",NA,"Interventional","Phase 2",107,"Completed","Efficacy of Learning Through Play Plus Intervention to Reduce Maternal Depression for Women With Under-nourished Children: A Randomized Controlled Trial From Pakistan","Randomised Control Trial of a Complex Intervention for Postnatal Depression","2009-05-01","2011-05-01","2010-12-01",FALSE,"Randomized","Single","OTHER",TRUE,"Multicentric Local","Pakistan","LMIC","maternal health","TRUE ","article","google search / trial number",28713687,"10.5498/wjp.v7.i2.98","https://www.wjgnet.com/2220/3206/full/v7/i2/98.htm",2017-06-22,TRUE,2244,2395,NA,NA,-631,99,-52,2343,"2011","2010"
"NCT00970866","2009-09-01",NA,"Interventional","Not Applicable",3499,"Completed","Efficacy of Lipid-based Nutrient Supplements (LNS) for Pregnant and Lactating Women and Their Infants","Efficacy of Lipid-Based Nutrient Supplements (LNS) for Pregnant and Lactating Women and Their Infants","2009-11-01","2017-12-15","2017-12-15",FALSE,"Randomized","Triple","OTHER",TRUE,"Multicentric Local","Ghana","LMIC","maternal health","TRUE ","article","linked in registry",25833980,"10.3945/ajcn.114.091546","https://pubmed.ncbi.nlm.nih.gov/25833980/",2015-02-11,TRUE,-1038,-1038,NA,NA,61,3027,3027,1989,"2017","2017"
"NCT01136850","2010-04-06",NA,"Interventional","Phase 3",2793,"Completed","Intermittent Preventive Treatment With Azithromycin-containing Regimens for the Prevention of Malarial Infections and Anaemia and the Control of Sexually Transmitted Infections in Pregnant Women in Papua New Guinea","Intermittent Preventive Treatment With Azithromycin-containing Regimens in Pregnant Women in Papua New Guinea","2009-11-01","2013-01-01","2012-12-01",FALSE,"Randomized","Single","OTHER",FALSE,"Monocentric","Papua New Guinea","LMIC","maternal health","TRUE ","article","linked in registry",25591391,"10.1186/s12916/014/0258/3","https://bmcmedicine.biomedcentral.com/articles/10.1186/s12916/014/0258/3",2015-01-16,TRUE,745,776,NA,NA,-156,1001,970,1746,"2013","2012"
"NCT01519947","2012-01-18","2017-09-08","Interventional","Phase 4",87,"Completed","Comparative Study to Evaluate the Effect of the Altitude on Dosage Requirements of Methoxy Polyethylene Glycol-Epoetin Beta to Correct Hemoglobin Levels in Chronic Renal Anemia in Pre-Dialysis and Dialysis Patients","A Study of The Effect of Altitude on Mircera (Methoxy Polyethylene Glycol-Epoetin Beta) Dose Requirements in Participants With Chronic Renal Anemia in Pre-Dialysis or Dialysis","2012-05-30","2015-05-30","2015-05-30",TRUE,"Non-Randomized","None (Open Label)","INDUSTRY",TRUE,"Multicentric Local","Mexico","LMIC","maternal health","FALSE","no paper",NA,NA,NA,NA,NA,FALSE,NA,NA,832,832,133,1228,1228,NA,"2015","2015"
"NCT01795131","2013-02-09",NA,"Interventional","Phase 2/Phase 3",120,"Completed","Role of Vitamin B12 Supplementation During Pregnancy and Postpartum to Reduce Nutritional Anemia and Improve Immunity in Bangladeshi Women and Their Infants","Vitamin B12 Supplementation During Pregnancy","2010-02-01","2013-12-01","2012-06-01",FALSE,"Randomized","Triple","OTHER",FALSE,"Monocentric","Bangladesh","LMIC","maternal health","FALSE","article","google search / PI + intervention",25648738,"10.1007/s00394/015/0845/x","https://pubmed.ncbi.nlm.nih.gov/25648738/",2015-02-04,TRUE,430,978,NA,NA,-1104,295,-253,725,"2013","2012"
"NCT02652806","2015-12-31",NA,"Interventional","Phase 3",305,"Completed","A Phase 3, Randomized, Open-Label, Active-Controlled Study of Efficacy and Safety of FG-4592 for Treatment of Anemia in Subjects With Chronic Kidney Disease on Dialysis","FG-4592 for Treatment of Anemia in Subjects With Chronic Kidney Disease","2015-12-01","2017-06-14","2017-01-24",FALSE,"Randomized","None (Open Label)","INDUSTRY",TRUE,"Multicentric Local","China","LMIC","maternal health","TRUE ","article","linked in registry",31340116,"10.1056/nejmoa1901713","https://pubmed.ncbi.nlm.nih.gov/31340116/",2019-07-24,TRUE,770,911,NA,NA,-30,531,390,1301,"2017","2017"
"NCT02527941","2015-08-14",NA,"Interventional","Phase 1",50,"Completed","Effect of Bacterial Vaginosis and Its Treatment on HIV Susceptibility and Female Genital Immunology","Effect of Bacterial Vaginosis on HIV Susceptibility and Female Genital Immunology","2015-08-01","2015-11-01","2015-11-01",FALSE,NA,"None (Open Label)","OTHER",FALSE,"Monocentric","Kenya","LMIC","maternal health","FALSE","article","google search / PI + intervention",30407498,"10.1093/cid/ciy762","https://pubmed.ncbi.nlm.nih.gov/30407498/",2018-09-12,TRUE,1046,1046,NA,NA,-13,79,79,1125,"2015","2015"
"NCT02148965","2014-05-22",NA,"Interventional","Not Applicable",639,"Completed","Effects of Exercise During Pregnancy on Maternal and Child Health: a Randomized Clinical Trial","Effects of Exercise During Pregnancy on Maternal and Child Health: a Randomized Clinical Trial","2014-09-01","2016-09-01","2016-06-01",FALSE,"Randomized","None (Open Label)","OTHER",FALSE,"Monocentric","Brazil","LMIC","maternal health","TRUE ","article","linked in registry",29273044,"10.1186/s12966/017/0632/6","https://pubmed.ncbi.nlm.nih.gov/29273044/",2017-12-22,TRUE,477,569,NA,NA,102,833,741,1310,"2016","2016"
"NCT02439632","2014-06-04",NA,"Interventional","Phase 3",216,"Completed","A Multi-center, Randomized, Double-blind, Double-dummy Clinical Study to Evaluate the Safety and Efficacy of Prulifloxacin Film-coated Tablet for the Treatment of Acute Uncomplicated Lower Urinary Tract Infection With Levofloxacin Hydrochloride Tablet as Active Control","A Multi-center, Randomized, Double-blind, Double-dummy Clinical Study to Evaluate the Safety and Efficacy of Prulifloxacin Film-coated Tablet for the Treatment of Acute Uncomplicated Lower Urinary Tract Infection With Levofloxacin Hydrochloride Tablet as Active Control","2014-02-01","2015-07-01","2015-03-01",FALSE,"Randomized","Double","INDUSTRY",FALSE,"Monocentric","China","LMIC","maternal health","TRUE ","no paper","",NA,"","",NA,FALSE,NA,NA,NA,NA,-123,392,270,NA,"2015","2015"
"NCT04306731","2020-03-11",NA,"Interventional","Not Applicable",437,"Completed","A Randomized, Double-blind, Placebo-controlled Clinical Study to Assess the Use of Nanotechnology Structured Water Magnalife for the Prevention of Recurrent Urinary Tract Infections.","Effect of Nanotechnology Structured Water Magnalife for the Prevention of Recurrent Urinary Tract Infections.","2014-09-20","2017-04-21","2017-04-21",FALSE,"Randomized","Quadruple","OTHER",FALSE,"Monocentric","Iraq","LMIC","maternal health","TRUE ","no paper","",NA,"","",NA,FALSE,NA,NA,NA,NA,-1999,-1055,-1055,NA,"2017","2017"
"NCT01241110","2010-11-15",NA,"Interventional","Phase 4",100,"Completed","Phase 4 Study of Azitromicin in the Treatment of PID","To Compare Ofloxacin With Azitromycin for Pelvic Inflammatory Disease (PID) Treatment","2010-01-01","2010-09-01","2010-08-01",FALSE,"Randomized","None (Open Label)","OTHER",FALSE,"Monocentric","Iran, Islamic Republic of","LMIC","maternal health","TRUE ","article","google search / trial number",NA,NA,"https://academicjournals.org/journal/IJMMS/article-full-text-pdf/8330A15211",2011-12-09,TRUE,464,495,NA,NA,-318,-75,-106,389,"2010","2010"
"NCT02124252","2014-04-24",NA,"Interventional","Not Applicable",7200,"Completed","Evaluation of a Community-Driven Cervical Cancer Prevention Strategy in Western Kenya","Community-Driven Cervical Cancer Prevention in Western Kenya","2016-01-01","2019-03-01","2016-10-01",FALSE,"Randomized","None (Open Label)","OTHER",FALSE,"Monocentric","Kenya","LMIC","maternal health","TRUE ","article","linked in registry",29197067,"10.1002/ijgo.12415","https://obgyn.onlinelibrary.wiley.com/doi/10.1002/ijgo.12415",2017-12-02,TRUE,-454,427,NA,NA,617,1772,891,1318,"2019","2016"
"NCT03019172","2017-01-10",NA,"Interventional","Not Applicable",40,"Completed","Safety, and Effectiveness of Lactobacillus Reuteri for the Treatment of Urinary Tract Infections in Women: A Pilot Randomized Clinical Trial (RCT)","Clinical Trial of L. Reuteri in Urinary Tract Infections in Non Pregnant Women","2017-03-05","2017-09-30","2017-07-30",FALSE,"Randomized","Double","OTHER",FALSE,"Monocentric","Mexico","LMIC","maternal health","TRUE ","no paper","",NA,"","",NA,FALSE,NA,NA,NA,NA,54,263,201,NA,"2017","2017"
"NCT01599507","2012-05-11",NA,"Interventional","Phase 2",91,"Completed","A Phase 2, Randomized, Double-Blind, Placebo-Controlled, Sequential Group, Dose Ranging Safety and Efficacy Study of FG 4592 in Non-dialysis Chronic Kidney Disease (CKD) Subjects With Anemia","Study of FG-4592 in Subjects With Chronic Kidney Disease in China","2011-12-01","2013-01-01","2013-01-01",FALSE,"Randomized","Quadruple","INDUSTRY",TRUE,"Multicentric Local","China","LMIC","maternal health","FALSE","article","google search / PI + intervention",28371815,"10.1093/ndt/gfx011","https://academic.oup.com/ndt/article/32/8/1373/3091491?login=false",2017-03-27,TRUE,1546,1546,NA,NA,-162,235,235,1781,"2013","2013"
"NCT02005588","2013-11-27",NA,"Interventional","Early Phase 1",150,"Completed","Comparison Between Aminoacid Chelated Iron and Iron Salt in Treatment of Iron Deficiency Anemia With Pregnancy","Treatment of Iron Deficiency Anemia With Pregnancy","2013-12-01","2015-07-01","2015-06-01",FALSE,"Randomized","None (Open Label)","OTHER",FALSE,"Monocentric","Egypt","LMIC","maternal health","TRUE ","article","google search / PI + intervention",28073037,"10.1016/j.ejogrb.2017.01.003","https://www.sciencedirect.com/science/article/pii/S0301211517300040?via%3Dihub",2017-01-03,TRUE,552,582,NA,NA,4,581,551,1133,"2015","2015"
"NCT01883479","2013-04-24",NA,"Interventional","Not Applicable",450,"Completed","Effect of Exercise and Wellness Interventions on Preventing Postpartum Depression.","Effect of Exercise and Wellness Interventions on Preventing Postpartum Depression","2012-12-01","2017-05-01","2017-05-01",FALSE,"Randomized","Single","OTHER",FALSE,"Monocentric","United States","HIC","maternal health","TRUE ","article","linked in registry",34802425,"10.1186/s12884/021/04257/8","https://pubmed.ncbi.nlm.nih.gov/34802425/",2021-11-22,TRUE,1666,1666,NA,NA,-144,1468,1468,3134,"2017","2017"
"NCT00744328","2008-08-28","2014-10-13","Interventional","Phase 4",85,"Terminated","Postpartum Depression: Transdermal Estradiol Versus Sertraline","Postpartum Depression: Transdermal Estradiol Versus Sertraline","2008-08-01","2013-09-01","2013-09-01",TRUE,"Randomized","Quadruple","OTHER",FALSE,"Monocentric","United States","HIC","maternal health","FALSE","article","google search / PI + intervention",26061609,"10.1097/JCP.0000000000000351","https://journals.lww.com/psychopharmacology/fulltext/2015/08000/transdermal_estradiol_treatment_for_postpartum.7.aspx",2015-08-01,TRUE,699,699,407,407,-27,1830,1830,2529,"2013","2013"
"NCT01087112","2009-12-29",NA,"Interventional","Early Phase 1",71,"Unknown status","A Follow-up Study of a Randomized Controlled Trial of Mother-Infant Psychoanalytic Treatment and Treatment As Usual at Child Health Centres","Mother-Infant Psychoanalysis Project of Stockholm (MIPPS)- Follow-up at 4½ Years","2009-12-01","2013-06-01","2012-06-01",FALSE,"Randomized","None (Open Label)","OTHER",FALSE,"Monocentric","Sweden","HIC","maternal health","FALSE","article","google search / PI + intervention",25451617,"10.1002/imhj.21478","https://onlinelibrary.wiley.com/doi/10.1002/imhj.21478",2014-12-01,TRUE,548,913,NA,NA,-28,1250,885,1798,"2013","2012"
"NCT00731315","2008-08-05",NA,"Interventional","Not Applicable",200,"Terminated","Computer-Assisted Treatment in the Management of Adult Female Patients With Symptoms of Urinary Tract Infection in Emergency Departments and Community Health Centers: A Randomized Trial","Computer-Assisted Treatment of Urinary Tract Infection in Emergency Departments and Community Health Centers","2008-08-01","2011-07-01","2011-07-01",FALSE,"Randomized","Double","OTHER",TRUE,"Multicentric Local","United States","HIC","maternal health","TRUE ","article","google search / trial number",21996070,"10.1111/j.1553/2712.2011.01167.x","",2011-10-01,TRUE,92,92,NA,NA,-4,1060,1060,1152,"2011","2011"
"NCT02742636","2016-04-01",NA,"Interventional","Not Applicable",162,"Completed","When is the Best Moment to Remove the Urinary Catheter After Laparoscopic Hysterectomy: MUCH Study.","When is the Best Moment to Remove the Urinary Catheter After Laparoscopic Hysterectomy?","2016-05-31","2017-06-21","2017-06-21",FALSE,"Randomized","None (Open Label)","OTHER",TRUE,"Multicentric Local","Netherlands","HIC","maternal health","TRUE ","article","google search / trial number",30548529,"10.1111/2F1471/0528.15580","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6593458/",2019-03-01,TRUE,618,618,NA,NA,60,446,446,1064,"2017","2017"
"NCT01071239","2009-05-20",NA,"Interventional","Phase 2",1,"Completed","A Phase II Trial of Hematopoietic Stem Cell Transplantation for the Treatment of Patients With Fanconi Anemia Lacking a Genotypically Identical Donor, Using a Chemotherapy Only Cytoreduction With Busulfan, Cyclophosphamide and Fludarabine","Hematopoietic Stem Cell Transplant for Fanconi Anemia","2009-04-01","2016-08-30","2016-08-30",FALSE,NA,"None (Open Label)","OTHER",FALSE,"Monocentric","United States","HIC","maternal health","TRUE ","no paper","",NA,"","",NA,FALSE,NA,NA,NA,NA,-49,2659,2659,NA,"2016","2016"
"NCT02538497","2015-08-04",NA,"Interventional","Not Applicable",350,"Completed","The Northern Babies Longitudinal Study: Predicting Postpartum Depression and Improving Parent-infant Interaction With The Newborn Behavioral Observation","The Northern Babies Longitudinal Study","2015-11-01","2018-12-01","2018-12-01",FALSE,"Non-Randomized","None (Open Label)","OTHER",FALSE,"Monocentric","Norway","HIC","maternal health","TRUE ","article","linked in registry",32539729,"10.1186/s12888/020/02669/y","https://bmcpsychiatry.biomedcentral.com/articles/10.1186/s12888/020/02669/y",2020-06-15,TRUE,562,562,NA,NA,89,1215,1215,1777,"2018","2018"
"NCT01453114","2011-10-12",NA,"Interventional","Not Applicable",15,"Completed","Cognitive-Behavioral Therapy in Women Discontinuing Antidepressant for Pregnancy","Cognitive-Behavioral Therapy (CBT) in Women Discontinuing Antidepressant for Pregnancy","2008-11-01","2012-07-01","2012-07-01",FALSE,"Non-Randomized","None (Open Label)","OTHER",FALSE,"Monocentric","United States","HIC","maternal health","TRUE ","article","google search / PI + intervention",24911438,"10.1097/jcp.0000000000000158","https://pubmed.ncbi.nlm.nih.gov/24911438/",2014-08-01,TRUE,761,761,NA,NA,-1075,263,263,1024,"2012","2012"
"NCT01235546","2010-11-04","2017-03-13","Interventional","Not Applicable",2013,"Completed","Cesarean Section Optimal Antibiotic Prophylaxis Trial","Study of Effectiveness and Safety of Azithromycin-based Extended-spectrum Prophylaxis to Prevent Post Cesarean Infection","2011-05-01","2015-12-01","2015-12-01",TRUE,"Randomized","Quadruple","OTHER",TRUE,"Multicentric Local","United States","HIC","maternal health","TRUE ","article","linked in registry",27682034,"10.1056/NEJMoa1602044","https://www.nejm.org/doi/10.1056/NEJMoa1602044?url_ver=Z39.88/2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200www.ncbi.nlm.nih.gov",2016-09-29,TRUE,303,303,468,468,178,1853,1853,2156,"2015","2015"
"NCT01235936","2010-11-05","2022-04-22","Interventional","Phase 2",10,"Completed","Phase 2a Open-Label Pilot Study to Assess the Pharmacodynamic Response, Pharmacokinetics, Safety, and Tolerability of 28-Day Repeat Oral Doses of AKB-6548 in Subjects With Anemia Secondary to Chronic Kidney Disease (CKD), Stages 3 and/or 4","Safety and Efficacy Study for AKB-6548 in Participants With Chronic Kidney Disease and Anemia","2010-10-21","2011-05-01","2011-04-13",TRUE,NA,"None (Open Label)","INDUSTRY",TRUE,"Multicentric Local","United States","HIC","maternal health","TRUE ","no paper","",NA,"","",NA,FALSE,NA,NA,4009,4027,-15,177,159,NA,"2011","2011"
"NCT01507649","2012-01-03",NA,"Interventional","Not Applicable",397,"Completed","The Effect of a Telephone-based Cognitive-behavioral Intervention on Postnatal Depression: a Randomized Controlled Trial","Effect of a Telephone-based Intervention on Postnatal Depression","2012-07-01","2014-12-01","2014-12-01",FALSE,"Randomized","Single","OTHER",FALSE,"Monocentric","Hong Kong","HIC","maternal health","TRUE ","article","linked in registry",27302544,"10.1016/j.jpsychores.2016.03.016","https://pubmed.ncbi.nlm.nih.gov/27302544/",2016-04-16,TRUE,502,502,NA,NA,180,1063,1063,1565,"2014","2014"
"NCT01899534","2013-07-10",NA,"Interventional","Not Applicable",566,"Completed","Mental Health E-screening in Pregnant and Postpartum Women","Mental Health E-screening in Pregnant and Postpartum Women","2013-07-01","2014-12-01","2014-12-01",FALSE,"Randomized","Single","OTHER",TRUE,"Multicentric Local","Canada","HIC","maternal health","TRUE ","article","linked in registry",28389421,"10.2196/jmir.6866","https://pubmed.ncbi.nlm.nih.gov/28389421/",2017-04-07,TRUE,858,858,NA,NA,-9,509,509,1367,"2014","2014"
"NCT01964196","2013-10-15",NA,"Interventional","Phase 2",107,"Completed","ASP1517 Phase 2 Clinical Trial -A Multi-center, Randomized, Parallel Groups, Placebo-controlled, Double-Blind Study of ASP1517 for the Treatment of Anemia in Chronic Kidney Disease Patients Not on Dialysis-","ASP1517 Phase 2 Clinical Trial - Double-Blind Study of ASP1517 for the Treatment of Anemia in Chronic Kidney Disease Patients Not on Dialysis-","2013-09-17","2015-12-01","2015-07-06",FALSE,"Randomized","Quadruple","INDUSTRY",TRUE,"Multicentric Local","Japan","HIC","maternal health","TRUE ","article","linked in registry",30953333,"10.1007/s12325/019/00943/4","https://pubmed.ncbi.nlm.nih.gov/30953333/",2019-04-05,TRUE,1221,1369,NA,NA,-28,777,629,1998,"2015","2015"
"NCT01812889","2013-03-14",NA,"Interventional","Phase 1",26,"Completed","A Two Part Randomized, Open-Label Phase I Safety and Pharmacokinetic Evaluation of Gel and Ovule Formulations of TOL-463 (Intravaginal Therapy) in 18-45 Year Old Healthy Female Subjects and Women With Vaginitis","Evaluation of Intravaginal Gel and Ovule Formulations of TOL-463","2013-04-01","2014-05-01","2014-01-01",FALSE,"Randomized","None (Open Label)","NIH",FALSE,"Monocentric","United States","HIC","maternal health","TRUE ","no paper","",NA,"","",NA,FALSE,NA,NA,NA,NA,18,413,293,NA,"2014","2014"
"NCT01744041","2012-11-27","2021-10-06","Interventional","Not Applicable",42,"Completed","Perinatal Depression: Dyadic-IPT to Improve Health of Mother and Baby","Mommy-Baby Treatment for Perinatal Depression","2012-11-01","2017-01-31","2017-01-31",TRUE,"Randomized","None (Open Label)","OTHER",FALSE,"Monocentric","United States","HIC","maternal health","FALSE","article","linked in registry",25604869,"10.1007/s00737-015-0503-6","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4439306/",2015-01-22,TRUE,-740,-740,1709,1709,-26,1526,1526,786,"2017","2017"
"NCT03366207","2017-12-04","2019-07-31","Interventional","Phase 4",250,"Completed","Clinical and Microbiologic Efficacy of Ciprofloxacin for the Treatment of Uncomplicated Urinary Tract Infection in Adult Women.","Efficacy of Ciprofloxacin for the Treatment of Uncomplicated Urinary Tract Infection (uUTI)","2017-12-15","2018-10-26","2018-07-31",TRUE,NA,"None (Open Label)","INDUSTRY",FALSE,"Monocentric","United States","HIC","maternal health","TRUE ","no paper","",NA,"","",NA,FALSE,NA,NA,278,365,11,326,239,NA,"2018","2018"
"NCT01221844","2010-10-12",NA,"Interventional","Phase 4",300,"Completed","Phase IV Study of Oral Administration of Bovine Lactoferrin (bLf) to Prevent and Cure Iron Deficiency (ID) and Iron Deficiency Anemia (IDA) Until Delivery in Hereditary Thrombophilia (HT) Affected Pregnant Women","Bovine Lactoferrin to Prevent and Cure Iron Deficiency and Iron Deficiency Anemia in Complicated Pregnancies","2010-02-01","2011-05-01","2011-03-01",FALSE,"Non-Randomized","None (Open Label)","OTHER",FALSE,"Monocentric","Italy","HIC","maternal health","TRUE ","article","linked in registry",24590680,"10.1007/s10534/014/9723/x","https://pubmed.ncbi.nlm.nih.gov/24590680/",2014-03-04,TRUE,1038,1099,NA,NA,-253,201,140,1239,"2011","2011"
"NCT02289794","2014-11-03",NA,"Interventional","Phase 1",194,"Completed","Evaluation of a Candidate Vaccine Against Uropathogenic Escherichia Coli in Women With a Clinical History of Recurrent Urinary Tract Infection","Vaccine Against Escherichia Coli Infection","2014-01-01","2015-09-01","2015-07-01",FALSE,"Randomized","Single","INDUSTRY",FALSE,"Monocentric","Switzerland","HIC","maternal health","TRUE ","article","linked in registry",28238601,"10.1016/s1473/3099(17)30108/1","https://www.sciencedirect.com/science/article/pii/S1473309917301081?via%3Dihub",2017-02-24,TRUE,542,604,NA,NA,-306,302,240,844,"2015","2015"
"NCT01800799","2013-02-19",NA,"Interventional","Not Applicable",37,"Completed","Use of Urinary Nerve Growth Factor as A Biomarker to Determine Complete Resolution of Bladder Inflammation After Acute Bacterial Cystitis in Women","Urinary NGF as A Biomarker for Acute Bacterial Cystitis","2013-02-01","2014-12-01","2014-12-01",FALSE,"Randomized","None (Open Label)","OTHER",FALSE,"Monocentric","Taiwan","HIC","maternal health","TRUE ","article","google search / trial number",27032555,"10.5213/inj.1630454.227","https://www.einj.org/m/journal/view.php?doi=10.5213/inj.1630454.227",2016-03-15,TRUE,470,470,NA,NA,-18,650,650,1120,"2014","2014"
"NCT01155388","2010-06-30","2017-08-10","Interventional","Phase 3",14,"Terminated","A Randomized, Open-Label, Active-Controlled Study of the Safety, Efficacy, and Pharmacokinetics of Ferumoxytol Compared With Oral Iron for the Treatment of Iron Deficiency Anemia in Pediatric Subjects With Nondialysis-dependent Chronic Kidney Disease","A Trial of Ferumoxytol for the Treatment of Iron Deficiency Anemia in Pediatric Participants With Nondialysis-Dependent Chronic Kidney Disease","2011-10-17","2014-06-24","2014-06-24",TRUE,"Randomized","None (Open Label)","INDUSTRY",FALSE,"Monocentric","United States","HIC","maternal health","TRUE ","no paper","",NA,"","",NA,FALSE,NA,NA,1143,1143,474,1455,1455,NA,"2014","2014"
"NCT02978326","2016-11-28","2021-11-15","Interventional","Phase 3",276,"Completed","A Multicenter, Randomized, Double-Blind, Parallel-Group, Placebo-Controlled Study Evaluating the Efficacy, Safety, and Pharmacokinetics of SAGE-217 in the Treatment of Adult Female Subjects With Severe Postpartum Depression","A Study to Evaluate SAGE-217 in Participants With Severe Postpartum Depression","2017-01-04","2018-12-11","2018-11-15",TRUE,"Randomized","Quadruple","INDUSTRY",TRUE,"Multicentric Local","United States","HIC","maternal health","TRUE ","article","google search / trial number",34190962,"10.1001/jamapsychiatry.2021.1559","https://jamanetwork.com/journals/jamapsychiatry/fullarticle/2781385",2021-06-30,TRUE,932,958,1070,1096,37,743,717,1675,"2018","2018"
"NCT03568942","2018-06-11","2019-12-13","Interventional","Phase 2",22,"Completed","A Phase IIa Single-Center, Open-Label Study Evaluating the Pharmacokinetics of Repeat Oral Doses of Gepotidacin (GSK2140944) in Adult Female Participants With Uncomplicated Urinary Tract Infection (Acute Cystitis)","Pharmacokinetic Study of Oral Gepotidacin (GSK2140944) in Subjects With Uncomplicated Urinary Tract Infection (Acute Cystitis)","2018-07-23","2019-01-07","2019-01-07",TRUE,NA,"None (Open Label)","INDUSTRY",FALSE,"Monocentric","United States","HIC","maternal health","TRUE ","article","linked in registry",32284384,"10.1128/aac.00199/20","https://pubmed.ncbi.nlm.nih.gov/32284384/",2020-06-23,TRUE,533,533,340,340,42,210,210,743,"2019","2019"
